YYYY-MM,CTY_GAS_USQNT
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,0.0
2015-08,0.0
2015-09,0.0
2015-10,0.0
2015-11,0.0
2015-12,0.0
2016-01,0.0
2016-02,0.0
2016-03,0.0
2016-04,220073.0
2016-05,101311.0
2016-06,60174.0
2016-07,93003.0
2016-08,203674.0
2016-09,253044.0
2016-10,59968.0
2016-11,51652.0
2016-12,205119.0
2017-01,284673.0
2017-02,377135.0
2017-03,392209.0
2017-04,260375.0
2017-05,97490.0
2017-06,69619.0
2017-07,117255.0
2017-08,264249.0
2017-09,221722.0
2017-10,55153.0
2017-11,51174.0
2017-12,241337.0
2018-01,398780.0
2018-02,444466.0
2018-03,459189.0
2018-04,255744.0
2018-05,101799.0
2018-06,52693.0
2018-07,82960.0
2018-08,243507.0
2018-09,305856.0
2018-10,65698.0
2018-11,98672.0
2018-12,184789.0
2019-01,373044.0
2019-02,475414.0
2019-03,397581.0
2019-04,246525.0
2019-05,128550.0
2019-06,66285.0
2019-07,73334.0
2019-08,262758.0
2019-09,347243.0
2019-10,94679.0
2019-11,58889.0
2019-12,209583.0
2020-01,339779.0
2020-02,373123.0
2020-03,363640.0
2020-04,263100.0
2020-05,163002.0
2020-06,52749.0
2020-07,115574.0
2020-08,84140.0
2020-09,167298.0
2020-10,57125.0
2020-11,67640.0
2020-12,139752.0
2021-01,308203.0
2021-02,411107.0
2021-03,334340.0
2021-04,231860.0
2021-05,121093.0
2021-06,70614.0
2021-07,60640.0
2021-08,107180.0
2021-09,128472.0
2021-10,50061.0
2021-11,51458.0
2021-12,0.0
2022-01,178608.0
2022-02,260790.0
2022-03,226078.0
2022-04,125378.0
2022-05,109105.0
2022-06,52359.0
2022-07,69625.0
2022-08,124998.0
2022-09,125758.0
2022-10,65867.0
2022-11,76899.0
2022-12,116304.0
