YYYY-MM,ELRW_USQNT
2015-01,297674.0
2015-02,294801.0
2015-03,253171.0
2015-04,237569.0
2015-05,195246.0
2015-06,173914.0
2015-07,165158.0
2015-08,170654.0
2015-09,150404.0
2015-10,153688.0
2015-11,195191.0
2015-12,242502.0
2016-01,275344.0
2016-02,302595.0
2016-03,261136.0
2016-04,233239.0
2016-05,184427.0
2016-06,165684.0
2016-07,158876.0
2016-08,147934.0
2016-09,96509.0
2016-10,82487.0
2016-11,120518.0
2016-12,159746.0
2017-01,187735.0
2017-02,203615.0
2017-03,152484.0
2017-04,139076.0
2017-05,91238.0
2017-06,74532.0
2017-07,79360.0
2017-08,88170.0
2017-09,74761.0
2017-10,75644.0
2017-11,106063.0
2017-12,166706.0
2018-01,203356.0
2018-02,207601.0
2018-03,172758.0
2018-04,144215.0
2018-05,111198.0
2018-06,92011.0
2018-07,86565.0
2018-08,117487.0
2018-09,97987.0
2018-10,78428.0
2018-11,121058.0
2018-12,150980.0
2019-01,198011.0
2019-02,195508.0
2019-03,160685.0
2019-04,159052.0
2019-05,109991.0
2019-06,79194.0
2019-07,78373.0
2019-08,112317.0
2019-09,109637.0
2019-10,93187.0
2019-11,135410.0
2019-12,184245.0
2020-01,214009.0
2020-02,213546.0
2020-03,183810.0
2020-04,165971.0
2020-05,136661.0
2020-06,110568.0
2020-07,97679.0
2020-08,98473.0
2020-09,111182.0
2020-10,85266.0
2020-11,134211.0
2020-12,171930.0
2021-01,214056.0
2021-02,218731.0
2021-03,171783.0
2021-04,150540.0
2021-05,115244.0
2021-06,93770.0
2021-07,87251.0
2021-08,105575.0
2021-09,88411.0
2021-10,73580.0
2021-11,127294.0
2021-12,166646.0
2022-01,218203.0
2022-02,215153.0
2022-03,180087.0
2022-04,148552.0
2022-05,95978.0
2022-06,81711.0
2022-07,93741.0
2022-08,102293.0
2022-09,89084.0
2022-10,82111.0
2022-11,131355.0
2022-12,163491.0
