YYYY-MM,ELRW_USQNT
2015-01,306207.0
2015-02,279060.0
2015-03,219738.0
2015-04,199911.0
2015-05,153741.0
2015-06,123848.0
2015-07,115667.0
2015-08,156088.0
2015-09,126373.0
2015-10,139317.0
2015-11,183503.0
2015-12,230336.0
2016-01,293327.0
2016-02,313880.0
2016-03,243943.0
2016-04,198358.0
2016-05,159099.0
2016-06,138329.0
2016-07,136741.0
2016-08,180785.0
2016-09,139780.0
2016-10,145234.0
2016-11,195569.0
2016-12,240198.0
2017-01,288617.0
2017-02,311635.0
2017-03,208137.0
2017-04,175441.0
2017-05,137948.0
2017-06,110654.0
2017-07,117213.0
2017-08,135999.0
2017-09,116345.0
2017-10,150518.0
2017-11,201028.0
2017-12,266047.0
2018-01,294483.0
2018-02,331602.0
2018-03,228478.0
2018-04,181043.0
2018-05,147191.0
2018-06,134205.0
2018-07,138775.0
2018-08,178886.0
2018-09,127355.0
2018-10,136583.0
2018-11,185928.0
2018-12,229224.0
2019-01,316853.0
2019-02,282301.0
2019-03,276822.0
2019-04,245493.0
2019-05,178167.0
2019-06,160002.0
2019-07,149101.0
2019-08,212496.0
2019-09,174549.0
2019-10,186275.0
2019-11,241772.0
2019-12,297596.0
2020-01,320288.0
2020-02,295050.0
2020-03,248296.0
2020-04,238365.0
2020-05,186850.0
2020-06,175475.0
2020-07,153596.0
2020-08,191181.0
2020-09,179389.0
2020-10,168437.0
2020-11,247615.0
2020-12,279957.0
2021-01,329020.0
2021-02,290830.0
2021-03,248042.0
2021-04,226474.0
2021-05,191538.0
2021-06,183342.0
2021-07,171632.0
2021-08,175180.0
2021-09,152088.0
2021-10,152516.0
2021-11,255471.0
2021-12,304784.0
2022-01,353867.0
2022-02,344977.0
2022-03,277989.0
2022-04,263010.0
2022-05,205573.0
2022-06,189714.0
2022-07,235319.0
2022-08,253802.0
2022-09,218213.0
2022-10,222158.0
2022-11,298332.0
2022-12,329256.0
