YYYY-MM,ELRW_USQNT
2015-01,2853430.0
2015-02,2771726.0
2015-03,2325541.0
2015-04,2260937.0
2015-05,2026044.0
2015-06,2122245.0
2015-07,2201755.0
2015-08,2682236.0
2015-09,2300199.0
2015-10,1966624.0
2015-11,2147241.0
2015-12,2401113.0
2016-01,2614565.0
2016-02,2760729.0
2016-03,2378218.0
2016-04,2161723.0
2016-05,1937921.0
2016-06,2074011.0
2016-07,2146255.0
2016-08,2621965.0
2016-09,2276602.0
2016-10,1822328.0
2016-11,1954324.0
2016-12,2193317.0
2017-01,2374183.0
2017-02,2495376.0
2017-03,1999719.0
2017-04,1952805.0
2017-05,1740558.0
2017-06,1808892.0
2017-07,2101097.0
2017-08,2013750.0
2017-09,1689742.0
2017-10,1745944.0
2017-11,1878478.0
2017-12,2216479.0
2018-01,2416247.0
2018-02,2517084.0
2018-03,1948486.0
2018-04,1902632.0
2018-05,1721351.0
2018-06,1840163.0
2018-07,1994562.0
2018-08,2851384.0
2018-09,2083566.0
2018-10,1350427.0
2018-11,1807217.0
2018-12,2048548.0
2019-01,2305560.0
2019-02,2245977.0
2019-03,1893418.0
2019-04,1921093.0
2019-05,1830273.0
2019-06,1937881.0
2019-07,2039565.0
2019-08,2548154.0
2019-09,2396483.0
2019-10,1883602.0
2019-11,1889388.0
2019-12,2160235.0
2020-01,2343455.0
2020-02,2345284.0
2020-03,2064745.0
2020-04,1967869.0
2020-05,1834496.0
2020-06,1990061.0
2020-07,2052335.0
2020-08,2241125.0
2020-09,1384664.0
2020-10,998679.0
2020-11,1873387.0
2020-12,2096761.0
2021-01,2491744.0
2021-02,2361230.0
2021-03,1997617.0
2021-04,1930195.0
2021-05,1789475.0
2021-06,1926189.0
2021-07,2095058.0
2021-08,2685233.0
2021-09,2222396.0
2021-10,1862854.0
2021-11,1912410.0
2021-12,2103070.0
2022-01,2466097.0
2022-02,2451401.0
2022-03,2101675.0
2022-04,2024106.0
2022-05,1783573.0
2022-06,1905947.0
2022-07,2309816.0
2022-08,2610421.0
2022-09,2324291.0
2022-10,1943959.0
2022-11,1918291.0
2022-12,2191417.0
