YYYY-MM,ELRW_USQNT
2015-01,1141804.0
2015-02,1031581.0
2015-03,1045123.0
2015-04,973365.0
2015-05,1013831.0
2015-06,1121749.0
2015-07,1257690.0
2015-08,1350675.0
2015-09,1134212.0
2015-10,963020.0
2015-11,972598.0
2015-12,1124367.0
2016-01,1180094.0
2016-02,1113814.0
2016-03,1081461.0
2016-04,953252.0
2016-05,1059577.0
2016-06,1237233.0
2016-07,1394943.0
2016-08,1485988.0
2016-09,1247247.0
2016-10,955473.0
2016-11,981013.0
2016-12,1105051.0
2017-01,1144319.0
2017-02,1080825.0
2017-03,1020911.0
2017-04,891952.0
2017-05,998718.0
2017-06,1132937.0
2017-07,1348867.0
2017-08,1310403.0
2017-09,1069254.0
2017-10,921831.0
2017-11,952355.0
2017-12,1059648.0
2018-01,1164671.0
2018-02,1059961.0
2018-03,1049345.0
2018-04,949869.0
2018-05,1046837.0
2018-06,1107828.0
2018-07,1352740.0
2018-08,1415560.0
2018-09,1083013.0
2018-10,894701.0
2018-11,899167.0
2018-12,1071983.0
2019-01,1151856.0
2019-02,963839.0
2019-03,956785.0
2019-04,886006.0
2019-05,1034948.0
2019-06,1097970.0
2019-07,1287932.0
2019-08,1482682.0
2019-09,1206170.0
2019-10,1009591.0
2019-11,887809.0
2019-12,989895.0
2020-01,1017477.0
2020-02,994512.0
2020-03,949972.0
2020-04,845602.0
2020-05,914550.0
2020-06,1195672.0
2020-07,1326189.0
2020-08,1447246.0
2020-09,1224721.0
2020-10,897709.0
2020-11,880842.0
2020-12,1011595.0
2021-01,1138040.0
2021-02,991540.0
2021-03,963666.0
2021-04,873469.0
2021-05,894085.0
2021-06,1163725.0
2021-07,1420764.0
2021-08,1442881.0
2021-09,1197218.0
2021-10,1036363.0
2021-11,908443.0
2021-12,1056839.0
2022-01,1108264.0
2022-02,1045303.0
2022-03,1021216.0
2022-04,915736.0
2022-05,1028151.0
2022-06,1196197.0
2022-07,1490697.0
2022-08,1493730.0
2022-09,1237270.0
2022-10,960341.0
2022-11,896173.0
2022-12,1076528.0
