YYYY-MM,ELRW_USQNT
2015-01,21558.0
2015-02,19765.0
2015-03,16634.0
2015-04,15250.0
2015-05,11809.0
2015-06,10980.0
2015-07,10362.0
2015-08,11107.0
2015-09,11066.0
2015-10,11654.0
2015-11,13449.0
2015-12,16148.0
2016-01,19008.0
2016-02,20788.0
2016-03,17481.0
2016-04,17007.0
2016-05,14592.0
2016-06,12323.0
2016-07,11739.0
2016-08,12854.0
2016-09,13018.0
2016-10,13028.0
2016-11,17274.0
2016-12,22108.0
2017-01,24095.0
2017-02,26313.0
2017-03,12223.0
2017-04,8586.0
2017-05,4489.0
2017-06,2704.0
2017-07,3766.0
2017-08,2646.0
2017-09,2636.0
2017-10,4886.0
2017-11,7717.0
2017-12,9830.0
2018-01,10928.0
2018-02,10472.0
2018-03,7885.0
2018-04,6005.0
2018-05,4633.0
2018-06,3396.0
2018-07,4320.0
2018-08,3444.0
2018-09,3018.0
2018-10,4200.0
2018-11,6205.0
2018-12,9277.0
2019-01,11658.0
2019-02,13817.0
2019-03,10050.0
2019-04,8125.0
2019-05,4460.0
2019-06,3641.0
2019-07,3012.0
2019-08,3384.0
2019-09,3011.0
2019-10,3536.0
2019-11,6675.0
2019-12,9866.0
2020-01,11100.0
2020-02,11171.0
2020-03,9352.0
2020-04,6995.0
2020-05,4997.0
2020-06,2613.0
2020-07,2308.0
2020-08,2623.0
2020-09,2184.0
2020-10,3524.0
2020-11,6247.0
2020-12,8293.0
2021-01,10495.0
2021-02,12349.0
2021-03,9888.0
2021-04,7584.0
2021-05,4317.0
2021-06,2807.0
2021-07,2247.0
2021-08,1725.0
2021-09,2237.0
2021-10,2329.0
2021-11,4818.0
2021-12,7463.0
2022-01,13605.0
2022-02,12527.0
2022-03,10029.0
2022-04,7832.0
2022-05,3227.0
2022-06,1981.0
2022-07,1754.0
2022-08,1844.0
2022-09,2201.0
2022-10,2469.0
2022-11,5416.0
2022-12,8483.0
