YYYY-MM,ELRW_USQNT
2015-01,142393.0
2015-02,133104.0
2015-03,112652.0
2015-04,101371.0
2015-05,81945.0
2015-06,62058.0
2015-07,57093.0
2015-08,59684.0
2015-09,59071.0
2015-10,67762.0
2015-11,81967.0
2015-12,106381.0
2016-01,95758.0
2016-02,104457.0
2016-03,83226.0
2016-04,72492.0
2016-05,56487.0
2016-06,50478.0
2016-07,48256.0
2016-08,52997.0
2016-09,50405.0
2016-10,51880.0
2016-11,59976.0
2016-12,82515.0
2017-01,90611.0
2017-02,109902.0
2017-03,37300.0
2017-04,35269.0
2017-05,27615.0
2017-06,23797.0
2017-07,23141.0
2017-08,20954.0
2017-09,24000.0
2017-10,24212.0
2017-11,30315.0
2017-12,42574.0
2018-01,47018.0
2018-02,51149.0
2018-03,43016.0
2018-04,37762.0
2018-05,32009.0
2018-06,24953.0
2018-07,20042.0
2018-08,32414.0
2018-09,29883.0
2018-10,23388.0
2018-11,23674.0
2018-12,32723.0
2019-01,39792.0
2019-02,40350.0
2019-03,45270.0
2019-04,47297.0
2019-05,35277.0
2019-06,30718.0
2019-07,29136.0
2019-08,32404.0
2019-09,30182.0
2019-10,28869.0
2019-11,34875.0
2019-12,44766.0
2020-01,44357.0
2020-02,41652.0
2020-03,33151.0
2020-04,29539.0
2020-05,24766.0
2020-06,23178.0
2020-07,22128.0
2020-08,23862.0
2020-09,24514.0
2020-10,19763.0
2020-11,28267.0
2020-12,34544.0
2021-01,41387.0
2021-02,38705.0
2021-03,31620.0
2021-04,28994.0
2021-05,25986.0
2021-06,26246.0
2021-07,25228.0
2021-08,26857.0
2021-09,25183.0
2021-10,23765.0
2021-11,25037.0
2021-12,30521.0
2022-01,38464.0
2022-02,34892.0
2022-03,27989.0
2022-04,24953.0
2022-05,20592.0
2022-06,21989.0
2022-07,24398.0
2022-08,23632.0
2022-09,21895.0
2022-10,19137.0
2022-11,21600.0
2022-12,27882.0
