YYYY-MM,CTY_GAS_USQNT
2015-01,1301557.0
2015-02,1219116.0
2015-03,1049123.0
2015-04,680571.0
2015-05,294769.0
2015-06,195594.0
2015-07,347850.0
2015-08,557436.0
2015-09,646952.0
2015-10,447777.0
2015-11,170210.0
2015-12,383599.0
2016-01,943920.0
2016-02,1299606.0
2016-03,1154397.0
2016-04,878892.0
2016-05,243118.0
2016-06,218707.0
2016-07,553089.0
2016-08,672855.0
2016-09,972291.0
2016-10,218743.0
2016-11,152002.0
2016-12,433610.0
2017-01,836490.0
2017-02,1168132.0
2017-03,1154283.0
2017-04,840576.0
2017-05,301306.0
2017-06,202330.0
2017-07,438716.0
2017-08,745851.0
2017-09,980533.0
2017-10,557966.0
2017-11,234799.0
2017-12,536103.0
2018-01,1038184.0
2018-02,1481777.0
2018-03,1349234.0
2018-04,660566.0
2018-05,242187.0
2018-06,236313.0
2018-07,423022.0
2018-08,703880.0
2018-09,907652.0
2018-10,418662.0
2018-11,209539.0
2018-12,372217.0
2019-01,1082522.0
2019-02,1311204.0
2019-03,959738.0
2019-04,624521.0
2019-05,300237.0
2019-06,166301.0
2019-07,145986.0
2019-08,345089.0
2019-09,336911.0
2019-10,229363.0
2019-11,171037.0
2019-12,4614.0
2020-01,834387.0
2020-02,1062987.0
2020-03,891283.0
2020-04,695442.0
2020-05,294680.0
2020-06,196308.0
2020-07,439285.0
2020-08,180708.0
2020-09,142386.0
2020-10,152819.0
2020-11,163797.0
2020-12,371843.0
2021-01,1028633.0
2021-02,1592314.0
2021-03,1066574.0
2021-04,678364.0
2021-05,214165.0
2021-06,156448.0
2021-07,169532.0
2021-08,146080.0
2021-09,147875.0
2021-10,132602.0
2021-11,194499.0
2021-12,505615.0
2022-01,989126.0
2022-02,1249913.0
2022-03,1220313.0
2022-04,701083.0
2022-05,317072.0
2022-06,167576.0
2022-07,150704.0
2022-08,143616.0
2022-09,451208.0
2022-10,139805.0
2022-11,172049.0
2022-12,266710.0
