YYYY-MM,ELRW_USQNT
2015-01,72208.0
2015-02,66491.0
2015-03,55643.0
2015-04,44218.0
2015-05,32716.0
2015-06,27206.0
2015-07,25317.0
2015-08,27107.0
2015-09,24432.0
2015-10,24370.0
2015-11,34373.0
2015-12,48413.0
2016-01,61574.0
2016-02,66742.0
2016-03,50351.0
2016-04,38460.0
2016-05,28801.0
2016-06,22302.0
2016-07,21443.0
2016-08,21371.0
2016-09,22251.0
2016-10,24808.0
2016-11,36525.0
2016-12,54911.0
2017-01,65185.0
2017-02,72148.0
2017-03,36550.0
2017-04,31970.0
2017-05,22908.0
2017-06,17072.0
2017-07,16734.0
2017-08,18761.0
2017-09,18855.0
2017-10,18190.0
2017-11,23484.0
2017-12,38500.0
2018-01,47392.0
2018-02,53256.0
2018-03,41048.0
2018-04,34655.0
2018-05,25561.0
2018-06,21737.0
2018-07,20278.0
2018-08,24148.0
2018-09,19963.0
2018-10,19046.0
2018-11,31510.0
2018-12,39115.0
2019-01,52171.0
2019-02,51674.0
2019-03,43975.0
2019-04,42766.0
2019-05,31108.0
2019-06,25181.0
2019-07,22916.0
2019-08,26532.0
2019-09,24320.0
2019-10,23042.0
2019-11,28594.0
2019-12,40642.0
2020-01,47053.0
2020-02,47404.0
2020-03,39306.0
2020-04,35945.0
2020-05,30307.0
2020-06,24631.0
2020-07,24064.0
2020-08,26027.0
2020-09,26907.0
2020-10,24608.0
2020-11,31233.0
2020-12,39978.0
2021-01,52997.0
2021-02,49327.0
2021-03,40909.0
2021-04,38316.0
2021-05,29260.0
2021-06,26298.0
2021-07,23006.0
2021-08,24822.0
2021-09,21950.0
2021-10,23964.0
2021-11,32003.0
2021-12,43238.0
2022-01,56865.0
2022-02,60607.0
2022-03,49755.0
2022-04,41240.0
2022-05,30799.0
2022-06,26051.0
2022-07,25085.0
2022-08,25482.0
2022-09,23371.0
2022-10,22569.0
2022-11,31714.0
2022-12,41794.0
