YYYY-MM,CTY_GAS_USQNT
2015-01,1265721.0
2015-02,1136377.0
2015-03,989638.0
2015-04,889374.0
2015-05,566990.0
2015-06,297793.0
2015-07,220094.0
2015-08,202539.0
2015-09,163595.0
2015-10,205137.0
2015-11,338147.0
2015-12,637911.0
2016-01,1001052.0
2016-02,1142984.0
2016-03,1035427.0
2016-04,833658.0
2016-05,435748.0
2016-06,274989.0
2016-07,222856.0
2016-08,210949.0
2016-09,157385.0
2016-10,201401.0
2016-11,391941.0
2016-12,736821.0
2017-01,1063409.0
2017-02,1159603.0
2017-03,982528.0
2017-04,834708.0
2017-05,474990.0
2017-06,290117.0
2017-07,248592.0
2017-08,224819.0
2017-09,178582.0
2017-10,201915.0
2017-11,361139.0
2017-12,787696.0
2018-01,1167576.0
2018-02,1250735.0
2018-03,1094139.0
2018-04,769902.0
2018-05,508642.0
2018-06,321369.0
2018-07,246296.0
2018-08,230344.0
2018-09,145162.0
2018-10,229438.0
2018-11,471308.0
2018-12,718318.0
2019-01,1203028.0
2019-02,1120910.0
2019-03,1431203.0
2019-04,1151954.0
2019-05,728517.0
2019-06,456199.0
2019-07,348726.0
2019-08,312276.0
2019-09,246666.0
2019-10,316304.0
2019-11,517140.0
2019-12,482649.0
2020-01,1586746.0
2020-02,1579730.0
2020-03,1392583.0
2020-04,1055897.0
2020-05,788662.0
2020-06,426631.0
2020-07,355088.0
2020-08,324213.0
2020-09,78678.0
2020-10,381304.0
2020-11,625998.0
2020-12,1082785.0
2021-01,1832191.0
2021-02,1750895.0
2021-03,1383180.0
2021-04,1026595.0
2021-05,643957.0
2021-06,448700.0
2021-07,348690.0
2021-08,297865.0
2021-09,259985.0
2021-10,292970.0
2021-11,601372.0
2021-12,1114316.0
2022-01,1682890.0
2022-02,1774547.0
2022-03,1454055.0
2022-04,1140475.0
2022-05,618806.0
2022-06,418133.0
2022-07,309024.0
2022-08,257811.0
2022-09,228044.0
2022-10,284529.0
2022-11,547772.0
2022-12,945110.0
