YYYY-MM,ELRW_USQNT
2015-01,61843.0
2015-02,57223.0
2015-03,49034.0
2015-04,43549.0
2015-05,34567.0
2015-06,22418.0
2015-07,19760.0
2015-08,20175.0
2015-09,20820.0
2015-10,27071.0
2015-11,34150.0
2015-12,45752.0
2016-01,25210.0
2016-02,30054.0
2016-03,23563.0
2016-04,24065.0
2016-05,18827.0
2016-06,14510.0
2016-07,12851.0
2016-08,12118.0
2016-09,13616.0
2016-10,14291.0
2016-11,17313.0
2016-12,22430.0
2017-01,28615.0
2017-02,31423.0
2017-03,9228.0
2017-04,9357.0
2017-05,7914.0
2017-06,6401.0
2017-07,5616.0
2017-08,4974.0
2017-09,3773.0
2017-10,3640.0
2017-11,5927.0
2017-12,10141.0
2018-01,11290.0
2018-02,13040.0
2018-03,10722.0
2018-04,9790.0
2018-05,6662.0
2018-06,5107.0
2018-07,4397.0
2018-08,4001.0
2018-09,3843.0
2018-10,4850.0
2018-11,6487.0
2018-12,8047.0
2019-01,13266.0
2019-02,11821.0
2019-03,9555.0
2019-04,8064.0
2019-05,6785.0
2019-06,3937.0
2019-07,3537.0
2019-08,3693.0
2019-09,3399.0
2019-10,4151.0
2019-11,5074.0
2019-12,7002.0
2020-01,8632.0
2020-02,8960.0
2020-03,7442.0
2020-04,7161.0
2020-05,5248.0
2020-06,3696.0
2020-07,3408.0
2020-08,3822.0
2020-09,3725.0
2020-10,3572.0
2020-11,6099.0
2020-12,6695.0
2021-01,10299.0
2021-02,10244.0
2021-03,8493.0
2021-04,7518.0
2021-05,5028.0
2021-06,4368.0
2021-07,3389.0
2021-08,3410.0
2021-09,3252.0
2021-10,3194.0
2021-11,5491.0
2021-12,7670.0
2022-01,9925.0
2022-02,10000.0
2022-03,8455.0
2022-04,7708.0
2022-05,4636.0
2022-06,3302.0
2022-07,3486.0
2022-08,3600.0
2022-09,3777.0
2022-10,4196.0
2022-11,5363.0
2022-12,7081.0
