YYYY-MM,CTY_GAS_USQNT
2015-01,8006658.0
2015-02,8362369.0
2015-03,6781680.0
2015-04,5273396.0
2015-05,3411400.0
2015-06,2351553.0
2015-07,2354619.0
2015-08,2424137.0
2015-09,2565479.0
2015-10,2429331.0
2015-11,2870490.0
2015-12,4165192.0
2016-01,6888738.0
2016-02,8574920.0
2016-03,7806269.0
2016-04,5669886.0
2016-05,2946289.0
2016-06,2325004.0
2016-07,2394276.0
2016-08,2640324.0
2016-09,3005662.0
2016-10,2538328.0
2016-11,3061102.0
2016-12,5258118.0
2017-01,7002168.0
2017-02,8602111.0
2017-03,6331328.0
2017-04,4798898.0
2017-05,2511417.0
2017-06,1660529.0
2017-07,1360169.0
2017-08,2323792.0
2017-09,2614314.0
2017-10,1109066.0
2017-11,1648939.0
2017-12,3676928.0
2018-01,5512666.0
2018-02,6167095.0
2018-03,5682031.0
2018-04,3865558.0
2018-05,2228517.0
2018-06,1589307.0
2018-07,1184923.0
2018-08,1146048.0
2018-09,1061844.0
2018-10,1175420.0
2018-11,1950919.0
2018-12,3386833.0
2019-01,5131385.0
2019-02,5690433.0
2019-03,4790085.0
2019-04,3563301.0
2019-05,3159799.0
2019-06,2375561.0
2019-07,2225732.0
2019-08,2483719.0
2019-09,2578657.0
2019-10,2239745.0
2019-11,2410590.0
2019-12,2260249.0
2020-01,6424831.0
2020-02,7358185.0
2020-03,6271193.0
2020-04,4693558.0
2020-05,3333945.0
2020-06,2229533.0
2020-07,2318249.0
2020-08,2072248.0
2020-09,1985013.0
2020-10,1285380.0
2020-11,2738492.0
2020-12,4380137.0
2021-01,7458970.0
2021-02,8097322.0
2021-03,6313570.0
2021-04,4235823.0
2021-05,2707882.0
2021-06,2059729.0
2021-07,2100864.0
2021-08,2176093.0
2021-09,2175068.0
2021-10,1851427.0
2021-11,2590257.0
2021-12,4250224.0
2022-01,6933231.0
2022-02,8129252.0
2022-03,7166843.0
2022-04,4599726.0
2022-05,2460771.0
2022-06,2095064.0
2022-07,2017850.0
2022-08,2133584.0
2022-09,2194936.0
2022-10,2018061.0
2022-11,2512482.0
2022-12,3925864.0
