YYYY-MM,ELRW_USQNT
2015-01,9110039.0
2015-02,8756075.0
2015-03,7362960.0
2015-04,7114969.0
2015-05,6453102.0
2015-06,6876529.0
2015-07,7293980.0
2015-08,8706465.0
2015-09,7652212.0
2015-10,6424416.0
2015-11,6553887.0
2015-12,7280657.0
2016-01,8256999.0
2016-02,8749601.0
2016-03,7481537.0
2016-04,6864908.0
2016-05,6285857.0
2016-06,6900219.0
2016-07,7369528.0
2016-08,8729554.0
2016-09,7899215.0
2016-10,6283875.0
2016-11,6478628.0
2016-12,7267176.0
2017-01,7968532.0
2017-02,8373101.0
2017-03,5078486.0
2017-04,4712251.0
2017-05,4047119.0
2017-06,4231298.0
2017-07,4952221.0
2017-08,5181315.0
2017-09,4413531.0
2017-10,3884194.0
2017-11,4194750.0
2017-12,5293647.0
2018-01,6069695.0
2018-02,6306881.0
2018-03,4945571.0
2018-04,4495837.0
2018-05,3995099.0
2018-06,4339392.0
2018-07,4606296.0
2018-08,6195642.0
2018-09,4884578.0
2018-10,3773309.0
2018-11,4142654.0
2018-12,4818748.0
2019-01,5821390.0
2019-02,5515613.0
2019-03,4654520.0
2019-04,4537869.0
2019-05,5716383.0
2019-06,6176166.0
2019-07,6617892.0
2019-08,8084448.0
2019-09,7417303.0
2019-10,5991453.0
2019-11,5836924.0
2019-12,6735330.0
2020-01,7540572.0
2020-02,7612733.0
2020-03,6589190.0
2020-04,6103223.0
2020-05,5691206.0
2020-06,6224847.0
2020-07,6537878.0
2020-08,7127582.0
2020-09,6272484.0
2020-10,4839939.0
2020-11,5890245.0
2020-12,6592237.0
2021-01,7876562.0
2021-02,7542738.0
2021-03,6195691.0
2021-04,5959059.0
2021-05,5555993.0
2021-06,6266007.0
2021-07,6909719.0
2021-08,8166676.0
2021-09,6900696.0
2021-10,6020616.0
2021-11,5787723.0
2021-12,6446734.0
2022-01,7475533.0
2022-02,7483328.0
2022-03,6270264.0
2022-04,5949594.0
2022-05,5443116.0
2022-06,6096838.0
2022-07,7416242.0
2022-08,8078834.0
2022-09,7143563.0
2022-10,5961914.0
2022-11,5533219.0
2022-12,6097254.0
