YYYY-MM,ELRW_USQNT
2015-01,1797437.0
2015-02,1725947.0
2015-03,1392825.0
2015-04,1301366.0
2015-05,1158982.0
2015-06,1261553.0
2015-07,1368267.0
2015-08,1666931.0
2015-09,1404181.0
2015-10,1119735.0
2015-11,1189937.0
2015-12,1439085.0
2016-01,1264967.0
2016-02,1334807.0
2016-03,1167762.0
2016-04,946630.0
2016-05,839532.0
2016-06,987176.0
2016-07,980313.0
2016-08,1190873.0
2016-09,998412.0
2016-10,726891.0
2016-11,784141.0
2016-12,1014827.0
2017-01,1145559.0
2017-02,1220660.0
2017-03,682627.0
2017-04,577336.0
2017-05,458601.0
2017-06,507557.0
2017-07,714728.0
2017-08,772201.0
2017-09,652189.0
2017-10,582631.0
2017-11,646863.0
2017-12,948257.0
2018-01,1065892.0
2018-02,1131093.0
2018-03,781610.0
2018-04,694429.0
2018-05,588641.0
2018-06,667820.0
2018-07,794356.0
2018-08,1024206.0
2018-09,769230.0
2018-10,533312.0
2018-11,613033.0
2018-12,806746.0
2019-01,977090.0
2019-02,931433.0
2019-03,745680.0
2019-04,694704.0
2019-05,832333.0
2019-06,915592.0
2019-07,1024840.0
2019-08,1261875.0
2019-09,1076095.0
2019-10,852154.0
2019-11,853499.0
2019-12,1102345.0
2020-01,1133095.0
2020-02,1050199.0
2020-03,866071.0
2020-04,775600.0
2020-05,698529.0
2020-06,778909.0
2020-07,790605.0
2020-08,853448.0
2020-09,845719.0
2020-10,651545.0
2020-11,773251.0
2020-12,971896.0
2021-01,1239718.0
2021-02,1091025.0
2021-03,896199.0
2021-04,753716.0
2021-05,625585.0
2021-06,692273.0
2021-07,812100.0
2021-08,929029.0
2021-09,730516.0
2021-10,649579.0
2021-11,729152.0
2021-12,933206.0
2022-01,1173051.0
2022-02,1078805.0
2022-03,866421.0
2022-04,692140.0
2022-05,565299.0
2022-06,664543.0
2022-07,944027.0
2022-08,959771.0
2022-09,804251.0
2022-10,686968.0
2022-11,675635.0
2022-12,887760.0
