YYYY-MM,ELRW_USQNT
2015-01,181941.0
2015-02,168129.0
2015-03,133647.0
2015-04,115687.0
2015-05,91477.0
2015-06,78922.0
2015-07,77415.0
2015-08,88145.0
2015-09,80190.0
2015-10,81096.0
2015-11,105811.0
2015-12,137711.0
2016-01,146831.0
2016-02,161485.0
2016-03,121841.0
2016-04,97952.0
2016-05,76683.0
2016-06,72985.0
2016-07,61004.0
2016-08,75672.0
2016-09,63461.0
2016-10,60372.0
2016-11,81783.0
2016-12,101494.0
2017-01,114239.0
2017-02,120251.0
2017-03,64136.0
2017-04,53985.0
2017-05,39279.0
2017-06,37944.0
2017-07,40880.0
2017-08,37610.0
2017-09,34264.0
2017-10,40375.0
2017-11,61071.0
2017-12,84890.0
2018-01,97421.0
2018-02,101799.0
2018-03,68926.0
2018-04,57072.0
2018-05,45565.0
2018-06,43591.0
2018-07,48388.0
2018-08,60789.0
2018-09,48820.0
2018-10,44486.0
2018-11,59227.0
2018-12,78743.0
2019-01,92111.0
2019-02,84510.0
2019-03,64108.0
2019-04,60892.0
2019-05,49258.0
2019-06,46930.0
2019-07,50744.0
2019-08,62569.0
2019-09,49234.0
2019-10,43447.0
2019-11,51205.0
2019-12,69019.0
2020-01,72641.0
2020-02,68908.0
2020-03,54624.0
2020-04,46623.0
2020-05,36957.0
2020-06,39959.0
2020-07,40518.0
2020-08,48545.0
2020-09,48075.0
2020-10,36924.0
2020-11,47995.0
2020-12,65649.0
2021-01,80146.0
2021-02,72239.0
2021-03,52124.0
2021-04,45497.0
2021-05,41588.0
2021-06,43443.0
2021-07,48066.0
2021-08,56233.0
2021-09,43370.0
2021-10,41332.0
2021-11,45876.0
2021-12,57873.0
2022-01,73107.0
2022-02,66830.0
2022-03,48764.0
2022-04,42114.0
2022-05,31999.0
2022-06,30623.0
2022-07,45018.0
2022-08,51264.0
2022-09,43906.0
2022-10,37240.0
2022-11,48307.0
2022-12,66200.0
