YYYY-MM,CTY_GAS_USQNT
2015-01,2539923.0
2015-02,2427218.0
2015-03,2017984.0
2015-04,1527704.0
2015-05,1003262.0
2015-06,605846.0
2015-07,467053.0
2015-08,418401.0
2015-09,400965.0
2015-10,490376.0
2015-11,787803.0
2015-12,1370356.0
2016-01,2014634.0
2016-02,2438157.0
2016-03,2014787.0
2016-04,1494696.0
2016-05,818130.0
2016-06,562300.0
2016-07,458100.0
2016-08,375076.0
2016-09,391200.0
2016-10,442496.0
2016-11,857181.0
2016-12,1543736.0
2017-01,2057240.0
2017-02,2526686.0
2017-03,1864787.0
2017-04,1418540.0
2017-05,763956.0
2017-06,506874.0
2017-07,381783.0
2017-08,313812.0
2017-09,347625.0
2017-10,426561.0
2017-11,724551.0
2017-12,1564677.0
2018-01,2468074.0
2018-02,2515289.0
2018-03,2141739.0
2018-04,1385058.0
2018-05,839830.0
2018-06,573032.0
2018-07,487151.0
2018-08,510683.0
2018-09,522616.0
2018-10,540916.0
2018-11,947401.0
2018-12,1530407.0
2019-01,2410454.0
2019-02,2471167.0
2019-03,1770652.0
2019-04,1567220.0
2019-05,904510.0
2019-06,567360.0
2019-07,473887.0
2019-08,520694.0
2019-09,466578.0
2019-10,528055.0
2019-11,709902.0
2019-12,829523.0
2020-01,2006046.0
2020-02,2752522.0
2020-03,2155345.0
2020-04,1737634.0
2020-05,1216868.0
2020-06,710845.0
2020-07,505288.0
2020-08,472413.0
2020-09,85663.0
2020-10,71062.0
2020-11,1111531.0
2020-12,1884868.0
2021-01,3155536.0
2021-02,2808283.0
2021-03,2302027.0
2021-04,1515142.0
2021-05,1018593.0
2021-06,666056.0
2021-07,481425.0
2021-08,386744.0
2021-09,392029.0
2021-10,448739.0
2021-11,1025272.0
2021-12,1895328.0
2022-01,2841426.0
2022-02,3147939.0
2022-03,2496082.0
2022-04,1753807.0
2022-05,932865.0
2022-06,585985.0
2022-07,419744.0
2022-08,357397.0
2022-09,385828.0
2022-10,534557.0
2022-11,1121672.0
2022-12,1940158.0
