YYYY-MM,ELRW_USQNT
2015-01,1545375.0
2015-02,1523718.0
2015-03,1278415.0
2015-04,1286601.0
2015-05,1133564.0
2015-06,1192596.0
2015-07,1224058.0
2015-08,1467825.0
2015-09,1257706.0
2015-10,1112084.0
2015-11,1210710.0
2015-12,1333192.0
2016-01,1432339.0
2016-02,1478393.0
2016-03,1318032.0
2016-04,1215339.0
2016-05,1087291.0
2016-06,1160560.0
2016-07,1158603.0
2016-08,1408713.0
2016-09,1171028.0
2016-10,983310.0
2016-11,1074436.0
2016-12,1219650.0
2017-01,1313859.0
2017-02,1358847.0
2017-03,1104404.0
2017-04,1099218.0
2017-05,952327.0
2017-06,996046.0
2017-07,1148110.0
2017-08,1221051.0
2017-09,997478.0
2017-10,981292.0
2017-11,1062642.0
2017-12,1279696.0
2018-01,1404489.0
2018-02,1483184.0
2018-03,1162748.0
2018-04,1151648.0
2018-05,1047717.0
2018-06,1098410.0
2018-07,1222055.0
2018-08,1626139.0
2018-09,1209921.0
2018-10,988214.0
2018-11,1086748.0
2018-12,1230185.0
2019-01,1384727.0
2019-02,1358028.0
2019-03,1121306.0
2019-04,1130132.0
2019-05,985702.0
2019-06,1031977.0
2019-07,1090570.0
2019-08,1448825.0
2019-09,1179935.0
2019-10,1004324.0
2019-11,1035200.0
2019-12,1177362.0
2020-01,1200460.0
2020-02,1350522.0
2020-03,1197058.0
2020-04,1158896.0
2020-05,1064250.0
2020-06,1144345.0
2020-07,1142940.0
2020-08,1343448.0
2020-09,587001.0
2020-10,435848.0
2020-11,1146077.0
2020-12,1262604.0
2021-01,1453837.0
2021-02,1333421.0
2021-03,1130411.0
2021-04,1122680.0
2021-05,1034998.0
2021-06,1096705.0
2021-07,1229180.0
2021-08,1492209.0
2021-09,1166597.0
2021-10,1051272.0
2021-11,1099384.0
2021-12,1191435.0
2022-01,1364526.0
2022-02,1346782.0
2022-03,1149602.0
2022-04,1117896.0
2022-05,991563.0
2022-06,1059575.0
2022-07,1340244.0
2022-08,1433354.0
2022-09,1181612.0
2022-10,1146260.0
2022-11,1183857.0
2022-12,1305585.0
