YYYY-MM,CTY_GAS_USQNT
2015-01,5043332.0
2015-02,4268471.0
2015-03,3319603.0
2015-04,3723620.0
2015-05,2205772.0
2015-06,1258371.0
2015-07,1624917.0
2015-08,1308168.0
2015-09,1777477.0
2015-10,1760210.0
2015-11,1376043.0
2015-12,2417682.0
2016-01,4197055.0
2016-02,4700810.0
2016-03,3394982.0
2016-04,3516943.0
2016-05,1580496.0
2016-06,1252162.0
2016-07,904638.0
2016-08,817894.0
2016-09,737963.0
2016-10,868733.0
2016-11,1101608.0
2016-12,2170694.0
2017-01,3079989.0
2017-02,2976278.0
2017-03,3339080.0
2017-04,2778058.0
2017-05,1469031.0
2017-06,1099815.0
2017-07,1582891.0
2017-08,1969218.0
2017-09,1592206.0
2017-10,1387134.0
2017-11,1042299.0
2017-12,2812939.0
2018-01,4256964.0
2018-02,4332388.0
2018-03,3351728.0
2018-04,3111775.0
2018-05,1684010.0
2018-06,1284729.0
2018-07,1749145.0
2018-08,2233364.0
2018-09,2105295.0
2018-10,1534078.0
2018-11,1345836.0
2018-12,2537404.0
2019-01,4548581.0
2019-02,3854497.0
2019-03,2854123.0
2019-04,3058376.0
2019-05,2178894.0
2019-06,1508719.0
2019-07,1785762.0
2019-08,1898592.0
2019-09,1999663.0
2019-10,1806491.0
2019-11,1403399.0
2019-12,829272.0
2020-01,4110461.0
2020-02,3649567.0
2020-03,2772693.0
2020-04,1972302.0
2020-05,1266915.0
2020-06,779763.0
2020-07,1627902.0
2020-08,1676706.0
2020-09,645020.0
2020-10,598463.0
2020-11,1297103.0
2020-12,2154687.0
2021-01,3716497.0
2021-02,3703477.0
2021-03,2453059.0
2021-04,2470186.0
2021-05,1240286.0
2021-06,933011.0
2021-07,1474317.0
2021-08,1817562.0
2021-09,1702943.0
2021-10,1483543.0
2021-11,1582705.0
2021-12,2289618.0
2022-01,3213405.0
2022-02,3632548.0
2022-03,2841790.0
2022-04,2709278.0
2022-05,1523251.0
2022-06,1042288.0
2022-07,1493025.0
2022-08,1995458.0
2022-09,1828516.0
2022-10,1734928.0
2022-11,1321332.0
2022-12,1877807.0
