YYYY-MM,ELRW_USQNT
2015-01,1678538.0
2015-02,1579749.0
2015-03,1359880.0
2015-04,1418249.0
2015-05,1244554.0
2015-06,1321815.0
2015-07,1335465.0
2015-08,1605896.0
2015-09,1494530.0
2015-10,1244908.0
2015-11,1258267.0
2015-12,1403217.0
2016-01,1482553.0
2016-02,1552277.0
2016-03,1326323.0
2016-04,1287447.0
2016-05,1151299.0
2016-06,1282834.0
2016-07,1440326.0
2016-08,1670547.0
2016-09,1578987.0
2016-10,1234293.0
2016-11,1227576.0
2016-12,1367683.0
2017-01,1479569.0
2017-02,1498935.0
2017-03,1028627.0
2017-04,1043288.0
2017-05,931037.0
2017-06,996078.0
2017-07,1131661.0
2017-08,1230637.0
2017-09,1070269.0
2017-10,1018128.0
2017-11,1042886.0
2017-12,1199953.0
2018-01,1335945.0
2018-02,1338937.0
2018-03,1056724.0
2018-04,1088897.0
2018-05,998869.0
2018-06,1118318.0
2018-07,1156050.0
2018-08,1569365.0
2018-09,1288592.0
2018-10,1010345.0
2018-11,1024931.0
2018-12,1106665.0
2019-01,1290918.0
2019-02,1160409.0
2019-03,1021570.0
2019-04,1092624.0
2019-05,1041597.0
2019-06,1155129.0
2019-07,1183266.0
2019-08,1440712.0
2019-09,1352895.0
2019-10,1136101.0
2019-11,1068792.0
2019-12,1160289.0
2020-01,1224081.0
2020-02,1194946.0
2020-03,1021225.0
2020-04,1010092.0
2020-05,970084.0
2020-06,1071676.0
2020-07,1170912.0
2020-08,1217108.0
2020-09,1036516.0
2020-10,745642.0
2020-11,1001331.0
2020-12,1091197.0
2021-01,1253851.0
2021-02,1198045.0
2021-03,989484.0
2021-04,1012136.0
2021-05,943264.0
2021-06,1097647.0
2021-07,1213345.0
2021-08,1476255.0
2021-09,1185638.0
2021-10,1079230.0
2021-11,1025270.0
2021-12,1125683.0
2022-01,1265366.0
2022-02,1248657.0
2022-03,1080210.0
2022-04,1068813.0
2022-05,1009821.0
2022-06,1129447.0
2022-07,1363790.0
2022-08,1415416.0
2022-09,1260865.0
2022-10,1096482.0
2022-11,1031135.0
2022-12,1120425.0
