YYYY-MM,CTY_GAS_USQNT
2015-01,254992.0
2015-02,248898.0
2015-03,207011.0
2015-04,196977.0
2015-05,110831.0
2015-06,83156.0
2015-07,87600.0
2015-08,84957.0
2015-09,74410.0
2015-10,75921.0
2015-11,77198.0
2015-12,95823.0
2016-01,233144.0
2016-02,199894.0
2016-03,223698.0
2016-04,204848.0
2016-05,87243.0
2016-06,65391.0
2016-07,78308.0
2016-08,71521.0
2016-09,87915.0
2016-10,72752.0
2016-11,83865.0
2016-12,176060.0
2017-01,240410.0
2017-02,240917.0
2017-03,351620.0
2017-04,258164.0
2017-05,148435.0
2017-06,119640.0
2017-07,93077.0
2017-08,88701.0
2017-09,292731.0
2017-10,116357.0
2017-11,134205.0
2017-12,236544.0
2018-01,308182.0
2018-02,297363.0
2018-03,314475.0
2018-04,231282.0
2018-05,222830.0
2018-06,179511.0
2018-07,162605.0
2018-08,271054.0
2018-09,337405.0
2018-10,162695.0
2018-11,226376.0
2018-12,295983.0
2019-01,442443.0
2019-02,535185.0
2019-03,416242.0
2019-04,339695.0
2019-05,268838.0
2019-06,217999.0
2019-07,194931.0
2019-08,275320.0
2019-09,376457.0
2019-10,207919.0
2019-11,166849.0
2019-12,140113.0
2020-01,426330.0
2020-02,570100.0
2020-03,355292.0
2020-04,207871.0
2020-05,130354.0
2020-06,92529.0
2020-07,116206.0
2020-08,128416.0
2020-09,162970.0
2020-10,135330.0
2020-11,149361.0
2020-12,249378.0
2021-01,352429.0
2021-02,555750.0
2021-03,322644.0
2021-04,267930.0
2021-05,194057.0
2021-06,144475.0
2021-07,138973.0
2021-08,178603.0
2021-09,175336.0
2021-10,116907.0
2021-11,159043.0
2021-12,314763.0
2022-01,478310.0
2022-02,571534.0
2022-03,547817.0
2022-04,293297.0
2022-05,204440.0
2022-06,152807.0
2022-07,141774.0
2022-08,268419.0
2022-09,262340.0
2022-10,172379.0
2022-11,170396.0
2022-12,293464.0
