YYYY-MM,ELRW_USQNT
2015-01,1809751.0
2015-02,1665281.0
2015-03,1404422.0
2015-04,1201866.0
2015-05,1085565.0
2015-06,1110925.0
2015-07,1247122.0
2015-08,1442325.0
2015-09,1187586.0
2015-10,1026316.0
2015-11,1131813.0
2015-12,1453779.0
2016-01,1614573.0
2016-02,1598827.0
2016-03,1330256.0
2016-04,1059647.0
2016-05,968447.0
2016-06,1067619.0
2016-07,1322511.0
2016-08,1494685.0
2016-09,1176548.0
2016-10,959116.0
2016-11,1090231.0
2016-12,1355274.0
2017-01,1518392.0
2017-02,1503584.0
2017-03,1189766.0
2017-04,1027705.0
2017-05,921723.0
2017-06,978568.0
2017-07,630766.0
2017-08,614275.0
2017-09,527290.0
2017-10,501228.0
2017-11,557661.0
2017-12,776210.0
2018-01,912007.0
2018-02,1055639.0
2018-03,786389.0
2018-04,713283.0
2018-05,607011.0
2018-06,659784.0
2018-07,715767.0
2018-08,957208.0
2018-09,762571.0
2018-10,579978.0
2018-11,675396.0
2018-12,838563.0
2019-01,1004757.0
2019-02,965294.0
2019-03,788108.0
2019-04,746788.0
2019-05,634353.0
2019-06,655826.0
2019-07,713200.0
2019-08,889858.0
2019-09,769195.0
2019-10,606672.0
2019-11,607384.0
2019-12,775315.0
2020-01,855819.0
2020-02,822019.0
2020-03,687432.0
2020-04,616177.0
2020-05,565623.0
2020-06,605269.0
2020-07,618031.0
2020-08,689436.0
2020-09,684013.0
2020-10,545465.0
2020-11,616967.0
2020-12,735823.0
2021-01,913360.0
2021-02,812714.0
2021-03,685656.0
2021-04,613884.0
2021-05,557682.0
2021-06,603737.0
2021-07,675316.0
2021-08,779728.0
2021-09,634787.0
2021-10,567179.0
2021-11,610587.0
2021-12,731463.0
2022-01,884039.0
2022-02,842542.0
2022-03,717078.0
2022-04,652798.0
2022-05,576916.0
2022-06,622846.0
2022-07,764020.0
2022-08,749229.0
2022-09,643904.0
2022-10,577965.0
2022-11,588466.0
2022-12,724270.0
