YYYY-MM,ELRW_USQNT
2015-01,40653.0
2015-02,38339.0
2015-03,30482.0
2015-04,29220.0
2015-05,23803.0
2015-06,17038.0
2015-07,16248.0
2015-08,16191.0
2015-09,15629.0
2015-10,15976.0
2015-11,21829.0
2015-12,26760.0
2016-01,32663.0
2016-02,36862.0
2016-03,29597.0
2016-04,23951.0
2016-05,22281.0
2016-06,17983.0
2016-07,19239.0
2016-08,19355.0
2016-09,15546.0
2016-10,19675.0
2016-11,23198.0
2016-12,25597.0
2017-01,32768.0
2017-02,36246.0
2017-03,12685.0
2017-04,10027.0
2017-05,6932.0
2017-06,5750.0
2017-07,6144.0
2017-08,6847.0
2017-09,6226.0
2017-10,5712.0
2017-11,6767.0
2017-12,9681.0
2018-01,12531.0
2018-02,13059.0
2018-03,11113.0
2018-04,9115.0
2018-05,6867.0
2018-06,5119.0
2018-07,5361.0
2018-08,6694.0
2018-09,5926.0
2018-10,4635.0
2018-11,7303.0
2018-12,8983.0
2019-01,11748.0
2019-02,11192.0
2019-03,9744.0
2019-04,8226.0
2019-05,6674.0
2019-06,5288.0
2019-07,4393.0
2019-08,5226.0
2019-09,5135.0
2019-10,4287.0
2019-11,5377.0
2019-12,7007.0
2020-01,10997.0
2020-02,10884.0
2020-03,8341.0
2020-04,6378.0
2020-05,4982.0
2020-06,5014.0
2020-07,5147.0
2020-08,5326.0
2020-09,6160.0
2020-10,4942.0
2020-11,7161.0
2020-12,9016.0
2021-01,11881.0
2021-02,12564.0
2021-03,8731.0
2021-04,7700.0
2021-05,6187.0
2021-06,5695.0
2021-07,5734.0
2021-08,6504.0
2021-09,5710.0
2021-10,5051.0
2021-11,4895.0
2021-12,7327.0
2022-01,10178.0
2022-02,11003.0
2022-03,8846.0
2022-04,7085.0
2022-05,5682.0
2022-06,5183.0
2022-07,5791.0
2022-08,6691.0
2022-09,5819.0
2022-10,5105.0
2022-11,6847.0
2022-12,7816.0
