YYYY-MM,CTY_GAS_USQNT
2015-01,903507.0
2015-02,866743.0
2015-03,695325.0
2015-04,573299.0
2015-05,340063.0
2015-06,257868.0
2015-07,316058.0
2015-08,384497.0
2015-09,364301.0
2015-10,321395.0
2015-11,268544.0
2015-12,335813.0
2016-01,522096.0
2016-02,847875.0
2016-03,807363.0
2016-04,570628.0
2016-05,296326.0
2016-06,250313.0
2016-07,299682.0
2016-08,315704.0
2016-09,368222.0
2016-10,276956.0
2016-11,258294.0
2016-12,500016.0
2017-01,753206.0
2017-02,853809.0
2017-03,363346.0
2017-04,256480.0
2017-05,130912.0
2017-06,164231.0
2017-07,199478.0
2017-08,283074.0
2017-09,286027.0
2017-10,202401.0
2017-11,179609.0
2017-12,287922.0
2018-01,451227.0
2018-02,526184.0
2018-03,469081.0
2018-04,325632.0
2018-05,177166.0
2018-06,170951.0
2018-07,195587.0
2018-08,263630.0
2018-09,329813.0
2018-10,203902.0
2018-11,194798.0
2018-12,243941.0
2019-01,421054.0
2019-02,523991.0
2019-03,431699.0
2019-04,314040.0
2019-05,219374.0
2019-06,198386.0
2019-07,214945.0
2019-08,266721.0
2019-09,299340.0
2019-10,225778.0
2019-11,243795.0
2019-12,177000.0
2020-01,430056.0
2020-02,490253.0
2020-03,396072.0
2020-04,212638.0
2020-05,186522.0
2020-06,142111.0
2020-07,198792.0
2020-08,209757.0
2020-09,248081.0
2020-10,132004.0
2020-11,142157.0
2020-12,232933.0
2021-01,358868.0
2021-02,421591.0
2021-03,313927.0
2021-04,278921.0
2021-05,151438.0
2021-06,137585.0
2021-07,178835.0
2021-08,249641.0
2021-09,282601.0
2021-10,189712.0
2021-11,183469.0
2021-12,222492.0
2022-01,364852.0
2022-02,424408.0
2022-03,376430.0
2022-04,287753.0
2022-05,175745.0
2022-06,141209.0
2022-07,225370.0
2022-08,306360.0
2022-09,283307.0
2022-10,184595.0
2022-11,171293.0
2022-12,245422.0
