YYYY-MM,ELRW_USQNT
2015-01,2038965.0
2015-02,1978629.0
2015-03,1586480.0
2015-04,1539816.0
2015-05,1357739.0
2015-06,1473838.0
2015-07,1573086.0
2015-08,1914182.0
2015-09,1654462.0
2015-10,1332687.0
2015-11,1366989.0
2015-12,1556330.0
2016-01,1437806.0
2016-02,1506007.0
2016-03,1307546.0
2016-04,1117137.0
2016-05,983371.0
2016-06,1106794.0
2016-07,1098858.0
2016-08,1320098.0
2016-09,1174469.0
2016-10,920333.0
2016-11,987231.0
2016-12,1184468.0
2017-01,1316736.0
2017-02,1411759.0
2017-03,1111755.0
2017-04,1018560.0
2017-05,860008.0
2017-06,917438.0
2017-07,1147525.0
2017-08,1091470.0
2017-09,940775.0
2017-10,869214.0
2017-11,911555.0
2017-12,1287629.0
2018-01,1442538.0
2018-02,1564325.0
2018-03,1134965.0
2018-04,1042671.0
2018-05,816443.0
2018-06,917115.0
2018-07,1027439.0
2018-08,1453811.0
2018-09,1150218.0
2018-10,820358.0
2018-11,910432.0
2018-12,1145878.0
2019-01,1354145.0
2019-02,1314628.0
2019-03,1087199.0
2019-04,1047582.0
2019-05,861435.0
2019-06,951907.0
2019-07,1037974.0
2019-08,1337218.0
2019-09,1152654.0
2019-10,908745.0
2019-11,902695.0
2019-12,1160117.0
2020-01,1284039.0
2020-02,1263250.0
2020-03,1043362.0
2020-04,950019.0
2020-05,846258.0
2020-06,948505.0
2020-07,1012140.0
2020-08,1120178.0
2020-09,1197146.0
2020-10,829534.0
2020-11,922287.0
2020-12,1095034.0
2021-01,1410448.0
2021-02,1268556.0
2021-03,1053213.0
2021-04,954884.0
2021-05,836949.0
2021-06,922564.0
2021-07,1080323.0
2021-08,1343108.0
2021-09,1118385.0
2021-10,956084.0
2021-11,952815.0
2021-12,1131297.0
2022-01,1392965.0
2022-02,1355365.0
2022-03,1148916.0
2022-04,1031193.0
2022-05,871252.0
2022-06,980092.0
2022-07,1316772.0
2022-08,1365242.0
2022-09,1145526.0
2022-10,976021.0
2022-11,949043.0
2022-12,1169489.0
