YYYY-MM,ELRW_USQNT
2015-01,47441.0
2015-02,39611.0
2015-03,34730.0
2015-04,27217.0
2015-05,23259.0
2015-06,17740.0
2015-07,14714.0
2015-08,16218.0
2015-09,15139.0
2015-10,17795.0
2015-11,26664.0
2015-12,36412.0
2016-01,40609.0
2016-02,49115.0
2016-03,36252.0
2016-04,29837.0
2016-05,22789.0
2016-06,16718.0
2016-07,15081.0
2016-08,14574.0
2016-09,14354.0
2016-10,14827.0
2016-11,25078.0
2016-12,36821.0
2017-01,40110.0
2017-02,47362.0
2017-03,7386.0
2017-04,6241.0
2017-05,4198.0
2017-06,2441.0
2017-07,2381.0
2017-08,2886.0
2017-09,3160.0
2017-10,3333.0
2017-11,6898.0
2017-12,9599.0
2018-01,12671.0
2018-02,18241.0
2018-03,10655.0
2018-04,8015.0
2018-05,6204.0
2018-06,3412.0
2018-07,2956.0
2018-08,4509.0
2018-09,3998.0
2018-10,3887.0
2018-11,7344.0
2018-12,7348.0
2019-01,13856.0
2019-02,9692.0
2019-03,7971.0
2019-04,5870.0
2019-05,4318.0
2019-06,1494.0
2019-07,1449.0
2019-08,1893.0
2019-09,2294.0
2019-10,2323.0
2019-11,3759.0
2019-12,6654.0
2020-01,8144.0
2020-02,9540.0
2020-03,5433.0
2020-04,3364.0
2020-05,2937.0
2020-06,2353.0
2020-07,2083.0
2020-08,2090.0
2020-09,2350.0
2020-10,2148.0
2020-11,5064.0
2020-12,5898.0
2021-01,7343.0
2021-02,6953.0
2021-03,5752.0
2021-04,5067.0
2021-05,3270.0
2021-06,1802.0
2021-07,1737.0
2021-08,2191.0
2021-09,1788.0
2021-10,1521.0
2021-11,3240.0
2021-12,4680.0
2022-01,10584.0
2022-02,8682.0
2022-03,5345.0
2022-04,5063.0
2022-05,1762.0
2022-06,1511.0
2022-07,1857.0
2022-08,2053.0
2022-09,1903.0
2022-10,1603.0
2022-11,3427.0
2022-12,7348.0
