YYYY-MM,CTY_GAS_USQNT
2015-01,4331630.0
2015-02,4038523.0
2015-03,3403727.0
2015-04,2368022.0
2015-05,1512341.0
2015-06,896210.0
2015-07,584957.0
2015-08,477817.0
2015-09,471647.0
2015-10,686365.0
2015-11,1331402.0
2015-12,2488735.0
2016-01,3385861.0
2016-02,4119159.0
2016-03,3173190.0
2016-04,2042730.0
2016-05,1169020.0
2016-06,749554.0
2016-07,571581.0
2016-08,503709.0
2016-09,443241.0
2016-10,697518.0
2016-11,1535387.0
2016-12,2758247.0
2017-01,3431093.0
2017-02,4048518.0
2017-03,2999752.0
2017-04,2199450.0
2017-05,1210294.0
2017-06,802500.0
2017-07,573469.0
2017-08,469461.0
2017-09,521883.0
2017-10,703839.0
2017-11,1436606.0
2017-12,3163056.0
2018-01,4106703.0
2018-02,4246442.0
2018-03,3202584.0
2018-04,2192771.0
2018-05,1342626.0
2018-06,816740.0
2018-07,609965.0
2018-08,417225.0
2018-09,614261.0
2018-10,785831.0
2018-11,1665512.0
2018-12,2736597.0
2019-01,3905159.0
2019-02,3784424.0
2019-03,2762018.0
2019-04,2496936.0
2019-05,1424215.0
2019-06,914505.0
2019-07,685836.0
2019-08,543314.0
2019-09,465333.0
2019-10,736455.0
2019-11,1398631.0
2019-12,2570492.0
2020-01,3709845.0
2020-02,3674449.0
2020-03,3009415.0
2020-04,2310572.0
2020-05,1571346.0
2020-06,925072.0
2020-07,666869.0
2020-08,632139.0
2020-09,77090.0
2020-10,107355.0
2020-11,1740930.0
2020-12,2829961.0
2021-01,4483076.0
2021-02,3852374.0
2021-03,2938644.0
2021-04,2058413.0
2021-05,1353133.0
2021-06,922261.0
2021-07,649380.0
2021-08,516840.0
2021-09,520439.0
2021-10,655315.0
2021-11,1699975.0
2021-12,2759210.0
2022-01,4169502.0
2022-02,4166294.0
2022-03,3259981.0
2022-04,2377633.0
2022-05,1261335.0
2022-06,826430.0
2022-07,569925.0
2022-08,471110.0
2022-09,518500.0
2022-10,716470.0
2022-11,1543409.0
2022-12,2668852.0
