YYYY-MM,ELRW_USQNT
2015-01,1474105.0
2015-02,1443557.0
2015-03,1227955.0
2015-04,1258909.0
2015-05,1152957.0
2015-06,1171176.0
2015-07,1154416.0
2015-08,1368722.0
2015-09,1170643.0
2015-10,1109390.0
2015-11,1226573.0
2015-12,1303386.0
2016-01,1394307.0
2016-02,1454284.0
2016-03,1259441.0
2016-04,1224203.0
2016-05,1126586.0
2016-06,1155552.0
2016-07,1182057.0
2016-08,1454065.0
2016-09,1225853.0
2016-10,1085837.0
2016-11,1187927.0
2016-12,1270105.0
2017-01,1347530.0
2017-02,1389423.0
2017-03,1154968.0
2017-04,1126274.0
2017-05,1092181.0
2017-06,1099098.0
2017-07,1184209.0
2017-08,1304780.0
2017-09,1116153.0
2017-10,1073949.0
2017-11,1177051.0
2017-12,1281406.0
2018-01,1381110.0
2018-02,1438914.0
2018-03,1171264.0
2018-04,1211252.0
2018-05,1119088.0
2018-06,1136694.0
2018-07,1217193.0
2018-08,1726458.0
2018-09,1218319.0
2018-10,1084254.0
2018-11,987643.0
2018-12,1249327.0
2019-01,1365601.0
2019-02,1354102.0
2019-03,1168682.0
2019-04,1234028.0
2019-05,1150615.0
2019-06,1178629.0
2019-07,1180890.0
2019-08,1495245.0
2019-09,1363816.0
2019-10,1130663.0
2019-11,1203642.0
2019-12,1255733.0
2020-01,1350060.0
2020-02,1349676.0
2020-03,1229166.0
2020-04,1235504.0
2020-05,1150805.0
2020-06,1191397.0
2020-07,1183616.0
2020-08,1340630.0
2020-09,263104.0
2020-10,195611.0
2020-11,1200285.0
2020-12,1268446.0
2021-01,1448872.0
2021-02,1410739.0
2021-03,1179752.0
2021-04,1212367.0
2021-05,1132365.0
2021-06,1174041.0
2021-07,1248445.0
2021-08,1590545.0
2021-09,1289809.0
2021-10,1135973.0
2021-11,1196523.0
2021-12,1243571.0
2022-01,1399909.0
2022-02,1426694.0
2022-03,1242748.0
2022-04,1253002.0
2022-05,1133453.0
2022-06,1166888.0
2022-07,1397628.0
2022-08,1569436.0
2022-09,1368434.0
2022-10,1219601.0
2022-11,1278635.0
2022-12,1402717.0
