YYYY-MM,ELRW_USQNT
2015-01,409954.0
2015-02,360342.0
2015-03,287735.0
2015-04,257441.0
2015-05,164800.0
2015-06,105465.0
2015-07,92520.0
2015-08,99326.0
2015-09,96692.0
2015-10,127300.0
2015-11,193988.0
2015-12,281575.0
2016-01,92826.0
2016-02,109670.0
2016-03,86952.0
2016-04,66153.0
2016-05,54073.0
2016-06,47373.0
2016-07,45672.0
2016-08,43911.0
2016-09,41948.0
2016-10,44299.0
2016-11,65062.0
2016-12,77943.0
2017-01,86152.0
2017-02,104467.0
2017-03,31265.0
2017-04,26482.0
2017-05,18839.0
2017-06,23192.0
2017-07,21653.0
2017-08,23994.0
2017-09,19638.0
2017-10,20153.0
2017-11,25719.0
2017-12,46595.0
2018-01,61547.0
2018-02,66394.0
2018-03,48758.0
2018-04,35937.0
2018-05,27900.0
2018-06,23329.0
2018-07,21923.0
2018-08,30891.0
2018-09,26400.0
2018-10,20587.0
2018-11,29898.0
2018-12,41685.0
2019-01,60408.0
2019-02,56885.0
2019-03,45065.0
2019-04,41414.0
2019-05,28381.0
2019-06,21387.0
2019-07,20991.0
2019-08,26400.0
2019-09,25431.0
2019-10,23506.0
2019-11,29738.0
2019-12,44024.0
2020-01,49650.0
2020-02,48587.0
2020-03,37540.0
2020-04,29964.0
2020-05,25277.0
2020-06,23015.0
2020-07,23556.0
2020-08,24204.0
2020-09,26769.0
2020-10,21755.0
2020-11,31664.0
2020-12,40232.0
2021-01,50251.0
2021-02,54348.0
2021-03,39393.0
2021-04,32238.0
2021-05,28023.0
2021-06,26762.0
2021-07,26319.0
2021-08,33228.0
2021-09,27024.0
2021-10,25082.0
2021-11,33365.0
2021-12,42692.0
2022-01,52725.0
2022-02,54431.0
2022-03,44029.0
2022-04,37860.0
2022-05,26079.0
2022-06,25695.0
2022-07,28094.0
2022-08,30254.0
2022-09,25871.0
2022-10,23513.0
2022-11,31936.0
2022-12,43011.0
