YYYY-MM,ELRW_USQNT
2015-01,3663703.0
2015-02,3481673.0
2015-03,2954076.0
2015-04,2835047.0
2015-05,2509281.0
2015-06,2620853.0
2015-07,2730288.0
2015-08,3354468.0
2015-09,2871436.0
2015-10,2532189.0
2015-11,2783325.0
2015-12,3020807.0
2016-01,3275133.0
2016-02,3510697.0
2016-03,2958025.0
2016-04,2701237.0
2016-05,2517522.0
2016-06,2606644.0
2016-07,2704559.0
2016-08,3332614.0
2016-09,2923020.0
2016-10,2365798.0
2016-11,2705402.0
2016-12,2951098.0
2017-01,3261886.0
2017-02,3402719.0
2017-03,2299496.0
2017-04,2170235.0
2017-05,1692551.0
2017-06,1696125.0
2017-07,2162124.0
2017-08,2374650.0
2017-09,1933367.0
2017-10,1958796.0
2017-11,2033548.0
2017-12,2490230.0
2018-01,2804909.0
2018-02,2901509.0
2018-03,2331549.0
2018-04,2204673.0
2018-05,1800578.0
2018-06,1867309.0
2018-07,2102082.0
2018-08,3182842.0
2018-09,2409296.0
2018-10,1947000.0
2018-11,2085393.0
2018-12,2298684.0
2019-01,2678934.0
2019-02,2569877.0
2019-03,2209449.0
2019-04,2249381.0
2019-05,1962274.0
2019-06,2068689.0
2019-07,2198187.0
2019-08,3169814.0
2019-09,2658497.0
2019-10,2198096.0
2019-11,2267622.0
2019-12,2501209.0
2020-01,2756287.0
2020-02,2840321.0
2020-03,2535285.0
2020-04,2371584.0
2020-05,2109818.0
2020-06,2271618.0
2020-07,2361297.0
2020-08,2716986.0
2020-09,1418250.0
2020-10,1052434.0
2020-11,2433580.0
2020-12,2658461.0
2021-01,3212499.0
2021-02,3150383.0
2021-03,2554188.0
2021-04,2551983.0
2021-05,2287662.0
2021-06,2432014.0
2021-07,2670981.0
2021-08,3425442.0
2021-09,2671601.0
2021-10,2398706.0
2021-11,2542227.0
2021-12,2772591.0
2022-01,3192724.0
2022-02,3136780.0
2022-03,2680475.0
2022-04,2595276.0
2022-05,2258454.0
2022-06,2337469.0
2022-07,2954196.0
2022-08,3192166.0
2022-09,2684356.0
2022-10,2752154.0
2022-11,2828002.0
2022-12,3066816.0
