YYYY-MM,CTY_GAS_USQNT
2015-01,1637853.0
2015-02,1420921.0
2015-03,1375695.0
2015-04,1011998.0
2015-05,646966.0
2015-06,506861.0
2015-07,378863.0
2015-08,331739.0
2015-09,293145.0
2015-10,384869.0
2015-11,569614.0
2015-12,953398.0
2016-01,1328640.0
2016-02,1533650.0
2016-03,1287698.0
2016-04,799146.0
2016-05,469509.0
2016-06,356557.0
2016-07,306779.0
2016-08,244710.0
2016-09,248621.0
2016-10,298268.0
2016-11,623397.0
2016-12,1085696.0
2017-01,1325463.0
2017-02,1477941.0
2017-03,1641885.0
2017-04,1197544.0
2017-05,674380.0
2017-06,479680.0
2017-07,343028.0
2017-08,323677.0
2017-09,320741.0
2017-10,383021.0
2017-11,762158.0
2017-12,1626966.0
2018-01,2082810.0
2018-02,2168749.0
2018-03,1764259.0
2018-04,1205135.0
2018-05,731843.0
2018-06,514084.0
2018-07,363393.0
2018-08,277236.0
2018-09,281356.0
2018-10,412807.0
2018-11,840542.0
2018-12,1420763.0
2019-01,1957027.0
2019-02,1890475.0
2019-03,1407686.0
2019-04,1236422.0
2019-05,742655.0
2019-06,459023.0
2019-07,386144.0
2019-08,327116.0
2019-09,301805.0
2019-10,411892.0
2019-11,763873.0
2019-12,918039.0
2020-01,2038877.0
2020-02,2195195.0
2020-03,1774844.0
2020-04,1352617.0
2020-05,998759.0
2020-06,608644.0
2020-07,457034.0
2020-08,448973.0
2020-09,237825.0
2020-10,275339.0
2020-11,1081589.0
2020-12,1795048.0
2021-01,2740191.0
2021-02,2374070.0
2021-03,1778906.0
2021-04,1233871.0
2021-05,859180.0
2021-06,560332.0
2021-07,426844.0
2021-08,341164.0
2021-09,355468.0
2021-10,430399.0
2021-11,1042076.0
2021-12,1713009.0
2022-01,2467146.0
2022-02,2478722.0
2022-03,1899309.0
2022-04,1327668.0
2022-05,711131.0
2022-06,504090.0
2022-07,392489.0
2022-08,332511.0
2022-09,343187.0
2022-10,526490.0
2022-11,1084464.0
2022-12,1984692.0
