YYYY-MM,ELRW_USQNT
2015-01,2158675.0
2015-02,2066780.0
2015-03,1732037.0
2015-04,1684760.0
2015-05,1532865.0
2015-06,1663522.0
2015-07,1724828.0
2015-08,2056824.0
2015-09,1829904.0
2015-10,1584516.0
2015-11,1662404.0
2015-12,1819990.0
2016-01,1956897.0
2016-02,2024271.0
2016-03,1764135.0
2016-04,1635669.0
2016-05,1523021.0
2016-06,1698493.0
2016-07,1540307.0
2016-08,1825372.0
2016-09,1655557.0
2016-10,1292316.0
2016-11,1306836.0
2016-12,1445072.0
2017-01,1575535.0
2017-02,1649882.0
2017-03,1396066.0
2017-04,1378385.0
2017-05,1257555.0
2017-06,1394112.0
2017-07,1716503.0
2017-08,1752821.0
2017-09,1484977.0
2017-10,1366257.0
2017-11,1420228.0
2017-12,1659164.0
2018-01,1820456.0
2018-02,1871223.0
2018-03,1432469.0
2018-04,1428080.0
2018-05,1334809.0
2018-06,1508581.0
2018-07,1611477.0
2018-08,2220269.0
2018-09,1760986.0
2018-10,1353496.0
2018-11,1383374.0
2018-12,1534613.0
2019-01,1710789.0
2019-02,1644360.0
2019-03,1393632.0
2019-04,1437234.0
2019-05,1325320.0
2019-06,1467181.0
2019-07,1521451.0
2019-08,1930780.0
2019-09,1652777.0
2019-10,1360889.0
2019-11,1350918.0
2019-12,1527522.0
2020-01,1631625.0
2020-02,1662048.0
2020-03,1455592.0
2020-04,1397590.0
2020-05,1314816.0
2020-06,1479074.0
2020-07,1511538.0
2020-08,1639515.0
2020-09,1299621.0
2020-10,988588.0
2020-11,1390528.0
2020-12,1481011.0
2021-01,1697754.0
2021-02,1558257.0
2021-03,1362722.0
2021-04,1333733.0
2021-05,1244776.0
2021-06,1418025.0
2021-07,1547002.0
2021-08,1920793.0
2021-09,1516449.0
2021-10,1374580.0
2021-11,1360308.0
2021-12,1435145.0
2022-01,1557516.0
2022-02,1502767.0
2022-03,1304087.0
2022-04,1252963.0
2022-05,1161748.0
2022-06,1302758.0
2022-07,1725462.0
2022-08,1831656.0
2022-09,1527160.0
2022-10,1487521.0
2022-11,1423239.0
2022-12,1563302.0
