YYYY-MM,CTY_GAS_USQNT
2015-01,4410063.0
2015-02,4084046.0
2015-03,3837517.0
2015-04,3014651.0
2015-05,2062498.0
2015-06,1254613.0
2015-07,983505.0
2015-08,909587.0
2015-09,863226.0
2015-10,1075138.0
2015-11,1721756.0
2015-12,2703790.0
2016-01,3852914.0
2016-02,4715823.0
2016-03,3716057.0
2016-04,3041464.0
2016-05,1795244.0
2016-06,1284738.0
2016-07,1049511.0
2016-08,1032140.0
2016-09,957931.0
2016-10,1202387.0
2016-11,2002314.0
2016-12,3406257.0
2017-01,4213260.0
2017-02,4671044.0
2017-03,3823649.0
2017-04,3082231.0
2017-05,1663008.0
2017-06,1054766.0
2017-07,788394.0
2017-08,625042.0
2017-09,681721.0
2017-10,909576.0
2017-11,1824056.0
2017-12,3689295.0
2018-01,4959956.0
2018-02,5088325.0
2018-03,4256840.0
2018-04,3037771.0
2018-05,1817133.0
2018-06,1134770.0
2018-07,870720.0
2018-08,712895.0
2018-09,655577.0
2018-10,1098157.0
2018-11,2080445.0
2018-12,3598355.0
2019-01,4767828.0
2019-02,4862288.0
2019-03,3633289.0
2019-04,3227188.0
2019-05,2074791.0
2019-06,1447795.0
2019-07,1120156.0
2019-08,1002561.0
2019-09,883674.0
2019-10,1223017.0
2019-11,1923086.0
2019-12,3245772.0
2020-01,4782054.0
2020-02,4708623.0
2020-03,4012917.0
2020-04,3094019.0
2020-05,2219411.0
2020-06,1391412.0
2020-07,1055146.0
2020-08,966399.0
2020-09,344483.0
2020-10,396560.0
2020-11,2318306.0
2020-12,3656191.0
2021-01,5644405.0
2021-02,5099774.0
2021-03,3831138.0
2021-04,3053013.0
2021-05,1769433.0
2021-06,1172931.0
2021-07,772697.0
2021-08,585211.0
2021-09,612873.0
2021-10,771869.0
2021-11,1994766.0
2021-12,3274712.0
2022-01,4760225.0
2022-02,4849664.0
2022-03,3922119.0
2022-04,2980573.0
2022-05,1619682.0
2022-06,1010941.0
2022-07,710276.0
2022-08,560366.0
2022-09,581038.0
2022-10,837730.0
2022-11,1871278.0
2022-12,3376966.0
