YYYY-MM,CTY_GAS_USQNT
2015-01,5046554.0
2015-02,4784141.0
2015-03,4115018.0
2015-04,3333194.0
2015-05,2063507.0
2015-06,1124560.0
2015-07,767986.0
2015-08,660422.0
2015-09,557572.0
2015-10,727961.0
2015-11,1242295.0
2015-12,2442583.0
2016-01,3894464.0
2016-02,4817218.0
2016-03,4323705.0
2016-04,3145934.0
2016-05,1658402.0
2016-06,1035072.0
2016-07,809547.0
2016-08,735396.0
2016-09,656845.0
2016-10,780685.0
2016-11,1453828.0
2016-12,3058622.0
2017-01,4303243.0
2017-02,5030354.0
2017-03,4029940.0
2017-04,3206900.0
2017-05,1730444.0
2017-06,924673.0
2017-07,648765.0
2017-08,551034.0
2017-09,551953.0
2017-10,534881.0
2017-11,1269106.0
2017-12,2932978.0
2018-01,4587480.0
2018-02,5103376.0
2018-03,4328502.0
2018-04,2793666.0
2018-05,1682221.0
2018-06,1029825.0
2018-07,681451.0
2018-08,530500.0
2018-09,445347.0
2018-10,643135.0
2018-11,1501110.0
2018-12,2515419.0
2019-01,4236772.0
2019-02,4164545.0
2019-03,3977841.0
2019-04,2838649.0
2019-05,1867423.0
2019-06,1028263.0
2019-07,723303.0
2019-08,619583.0
2019-09,521029.0
2019-10,595352.0
2019-11,1086575.0
2019-12,145694.0
2020-01,3921524.0
2020-02,4159078.0
2020-03,3522731.0
2020-04,2799600.0
2020-05,2039714.0
2020-06,1047920.0
2020-07,738825.0
2020-08,697517.0
2020-09,111047.0
2020-10,100066.0
2020-11,1422935.0
2020-12,2442592.0
2021-01,4486511.0
2021-02,4860709.0
2021-03,3674009.0
2021-04,2616255.0
2021-05,1579657.0
2021-06,1065411.0
2021-07,669270.0
2021-08,529935.0
2021-09,476235.0
2021-10,614692.0
2021-11,1315859.0
2021-12,2554043.0
2022-01,4200122.0
2022-02,4842536.0
2022-03,4223160.0
2022-04,3015811.0
2022-05,1680603.0
2022-06,961517.0
2022-07,645450.0
2022-08,478999.0
2022-09,465634.0
2022-10,595939.0
2022-11,1272042.0
2022-12,2234228.0
