YYYY-MM,CTY_GAS_USQNT
2015-01,12280938.0
2015-02,12116908.0
2015-03,10225774.0
2015-04,8820177.0
2015-05,5505896.0
2015-06,3392609.0
2015-07,2318527.0
2015-08,2504655.0
2015-09,2206294.0
2015-10,2680892.0
2015-11,3351285.0
2015-12,7149009.0
2016-01,10280612.0
2016-02,12907820.0
2016-03,10484908.0
2016-04,8648010.0
2016-05,4720076.0
2016-06,3116675.0
2016-07,2555823.0
2016-08,2806298.0
2016-09,2056387.0
2016-10,2622649.0
2016-11,3712729.0
2016-12,8187702.0
2017-01,10487287.0
2017-02,12189885.0
2017-03,10179123.0
2017-04,8824830.0
2017-05,4698459.0
2017-06,2965447.0
2017-07,2334963.0
2017-08,2438721.0
2017-09,2337777.0
2017-10,2592503.0
2017-11,3912743.0
2017-12,9227722.0
2018-01,13131008.0
2018-02,13913343.0
2018-03,11792841.0
2018-04,8322495.0
2018-05,5162915.0
2018-06,3381605.0
2018-07,2471676.0
2018-08,2431401.0
2018-09,2417728.0
2018-10,2781467.0
2018-11,4656198.0
2018-12,8220879.0
2019-01,12350483.0
2019-02,12947854.0
2019-03,10228909.0
2019-04,9332993.0
2019-05,5770988.0
2019-06,3670890.0
2019-07,2660483.0
2019-08,2611214.0
2019-09,2342095.0
2019-10,2838919.0
2019-11,4250646.0
2019-12,1990311.0
2020-01,11336030.0
2020-02,12300126.0
2020-03,10095968.0
2020-04,8568391.0
2020-05,6271267.0
2020-06,3353449.0
2020-07,2608457.0
2020-08,2414985.0
2020-09,974478.0
2020-10,1056586.0
2020-11,4711247.0
2020-12,8602853.0
2021-01,13391195.0
2021-02,13416726.0
2021-03,10309151.0
2021-04,8083620.0
2021-05,4841490.0
2021-06,3641806.0
2021-07,2520256.0
2021-08,2382962.0
2021-09,2065527.0
2021-10,2529883.0
2021-11,4505104.0
2021-12,8659722.0
2022-01,12906118.0
2022-02,13459735.0
2022-03,11322328.0
2022-04,9007339.0
2022-05,4807089.0
2022-06,3339270.0
2022-07,2526962.0
2022-08,2607944.0
2022-09,2037494.0
2022-10,2868755.0
2022-11,4920164.0
2022-12,8465608.0
