YYYY-MM,ELRW_USQNT
2015-01,136428.0
2015-02,132418.0
2015-03,107565.0
2015-04,98379.0
2015-05,74767.0
2015-06,69115.0
2015-07,66201.0
2015-08,71151.0
2015-09,67470.0
2015-10,67811.0
2015-11,84304.0
2015-12,101730.0
2016-01,119302.0
2016-02,126175.0
2016-03,105120.0
2016-04,88671.0
2016-05,71475.0
2016-06,61866.0
2016-07,51932.0
2016-08,58937.0
2016-09,54454.0
2016-10,52267.0
2016-11,68026.0
2016-12,85804.0
2017-01,99284.0
2017-02,98188.0
2017-03,36432.0
2017-04,30032.0
2017-05,18926.0
2017-06,17537.0
2017-07,20546.0
2017-08,21840.0
2017-09,19793.0
2017-10,28347.0
2017-11,48946.0
2017-12,56233.0
2018-01,58668.0
2018-02,62571.0
2018-03,45646.0
2018-04,39452.0
2018-05,30525.0
2018-06,26928.0
2018-07,30211.0
2018-08,36465.0
2018-09,27691.0
2018-10,35413.0
2018-11,44337.0
2018-12,64846.0
2019-01,81045.0
2019-02,79808.0
2019-03,54045.0
2019-04,46853.0
2019-05,37837.0
2019-06,35285.0
2019-07,37872.0
2019-08,51795.0
2019-09,42128.0
2019-10,34557.0
2019-11,42018.0
2019-12,59597.0
2020-01,60731.0
2020-02,57063.0
2020-03,41809.0
2020-04,33780.0
2020-05,30196.0
2020-06,33274.0
2020-07,35610.0
2020-08,45992.0
2020-09,39483.0
2020-10,29757.0
2020-11,44376.0
2020-12,54372.0
2021-01,68575.0
2021-02,59782.0
2021-03,45783.0
2021-04,39333.0
2021-05,28829.0
2021-06,34172.0
2021-07,45860.0
2021-08,53968.0
2021-09,44373.0
2021-10,40890.0
2021-11,49262.0
2021-12,65264.0
2022-01,77505.0
2022-02,74294.0
2022-03,52406.0
2022-04,44534.0
2022-05,36528.0
2022-06,38705.0
2022-07,48578.0
2022-08,51238.0
2022-09,41984.0
2022-10,35606.0
2022-11,45370.0
2022-12,61580.0
