YYYY-MM,CTY_GAS_USQNT
2015-01,10540360.0
2015-02,10113429.0
2015-03,8851770.0
2015-04,6867997.0
2015-05,4118351.0
2015-06,2293086.0
2015-07,1555151.0
2015-08,1446962.0
2015-09,1242120.0
2015-10,1672018.0
2015-11,2860708.0
2015-12,6056427.0
2016-01,9068378.0
2016-02,11003392.0
2016-03,8978718.0
2016-04,6735693.0
2016-05,3620406.0
2016-06,2098197.0
2016-07,1478163.0
2016-08,1462186.0
2016-09,1371396.0
2016-10,1652875.0
2016-11,3629918.0
2016-12,7054314.0
2017-01,9498915.0
2017-02,10696658.0
2017-03,8297540.0
2017-04,6802480.0
2017-05,3743690.0
2017-06,2014453.0
2017-07,1481779.0
2017-08,1464622.0
2017-09,1376393.0
2017-10,1522600.0
2017-11,2523317.0
2017-12,7653903.0
2018-01,10201125.0
2018-02,11347425.0
2018-03,8482152.0
2018-04,6297510.0
2018-05,3784061.0
2018-06,1979553.0
2018-07,1534924.0
2018-08,1384909.0
2018-09,1257485.0
2018-10,1748183.0
2018-11,4262386.0
2018-12,6617938.0
2019-01,9746582.0
2019-02,9835155.0
2019-03,7819838.0
2019-04,6723667.0
2019-05,4122528.0
2019-06,2343355.0
2019-07,1612438.0
2019-08,1404989.0
2019-09,1288378.0
2019-10,1576893.0
2019-11,3254147.0
2019-12,3692185.0
2020-01,9104337.0
2020-02,10054000.0
2020-03,8685977.0
2020-04,7034918.0
2020-05,5030750.0
2020-06,2283823.0
2020-07,1659433.0
2020-08,1693021.0
2020-09,262664.0
2020-10,243537.0
2020-11,4123537.0
2020-12,7195476.0
2021-01,11100350.0
2021-02,11261298.0
2021-03,8445714.0
2021-04,6378018.0
2021-05,3894177.0
2021-06,2464563.0
2021-07,1624694.0
2021-08,1370939.0
2021-09,1170245.0
2021-10,1634982.0
2021-11,3921588.0
2021-12,6995070.0
2022-01,10521160.0
2022-02,11190229.0
2022-03,9334933.0
2022-04,7062780.0
2022-05,3713441.0
2022-06,2271461.0
2022-07,1412260.0
2022-08,1213184.0
2022-09,1146786.0
2022-10,1604942.0
2022-11,3508766.0
2022-12,6248848.0
