YYYY-MM,CTY_GAS_USQNT
2015-01,6194209.0
2015-02,5362269.0
2015-03,4828603.0
2015-04,4600864.0
2015-05,2411047.0
2015-06,1347413.0
2015-07,1287602.0
2015-08,1115555.0
2015-09,1079194.0
2015-10,1446874.0
2015-11,1548931.0
2015-12,3338430.0
2016-01,5224202.0
2016-02,6276434.0
2016-03,5080837.0
2016-04,4394256.0
2016-05,2073379.0
2016-06,1495131.0
2016-07,1492661.0
2016-08,1458946.0
2016-09,1461860.0
2016-10,1432499.0
2016-11,1994390.0
2016-12,4957389.0
2017-01,5898922.0
2017-02,6452673.0
2017-03,7745698.0
2017-04,6796143.0
2017-05,3423369.0
2017-06,2253921.0
2017-07,1897882.0
2017-08,1837251.0
2017-09,1637194.0
2017-10,1701757.0
2017-11,2760449.0
2017-12,7000026.0
2018-01,9650736.0
2018-02,10122376.0
2018-03,8987463.0
2018-04,6164751.0
2018-05,3772968.0
2018-06,2381801.0
2018-07,1886561.0
2018-08,1947365.0
2018-09,1602348.0
2018-10,1951214.0
2018-11,3501104.0
2018-12,6364515.0
2019-01,9519782.0
2019-02,9236571.0
2019-03,7292745.0
2019-04,6479477.0
2019-05,4057534.0
2019-06,2420199.0
2019-07,1864459.0
2019-08,1817940.0
2019-09,1569390.0
2019-10,1981927.0
2019-11,2573350.0
2019-12,4169009.0
2020-01,8635506.0
2020-02,8454363.0
2020-03,7032003.0
2020-04,5616884.0
2020-05,3847358.0
2020-06,2169302.0
2020-07,1872281.0
2020-08,1838294.0
2020-09,1147628.0
2020-10,957915.0
2020-11,3237953.0
2020-12,6133708.0
2021-01,9341029.0
2021-02,9518226.0
2021-03,6978631.0
2021-04,5569514.0
2021-05,3285696.0
2021-06,2239332.0
2021-07,1777858.0
2021-08,1679222.0
2021-09,1478872.0
2021-10,1433315.0
2021-11,2978011.0
2021-12,5745169.0
2022-01,8441567.0
2022-02,8976349.0
2022-03,7591243.0
2022-04,5760325.0
2022-05,3105911.0
2022-06,1949027.0
2022-07,1756379.0
2022-08,1680004.0
2022-09,1707510.0
2022-10,1700944.0
2022-11,2985626.0
2022-12,5066914.0
