YYYY-MM,ELRW_USQNT
2015-01,5279080.0
2015-02,5158604.0
2015-03,4339308.0
2015-04,4327834.0
2015-05,3729422.0
2015-06,3685311.0
2015-07,3818378.0
2015-08,4459786.0
2015-09,4321530.0
2015-10,3600037.0
2015-11,3661074.0
2015-12,4019103.0
2016-01,4567206.0
2016-02,4953759.0
2016-03,4208577.0
2016-04,4065748.0
2016-05,3426410.0
2016-06,3551212.0
2016-07,3309295.0
2016-08,3942832.0
2016-09,4093341.0
2016-10,3086833.0
2016-11,3023359.0
2016-12,3421614.0
2017-01,3894746.0
2017-02,4033558.0
2017-03,3855009.0
2017-04,3823466.0
2017-05,3265718.0
2017-06,3333189.0
2017-07,3625419.0
2017-08,3947608.0
2017-09,3600252.0
2017-10,3316422.0
2017-11,3360264.0
2017-12,3799339.0
2018-01,4478450.0
2018-02,4656492.0
2018-03,3883831.0
2018-04,3706144.0
2018-05,3259891.0
2018-06,3369628.0
2018-07,3632477.0
2018-08,4818233.0
2018-09,4328920.0
2018-10,3250363.0
2018-11,3328050.0
2018-12,3592816.0
2019-01,4322203.0
2019-02,4324990.0
2019-03,3625190.0
2019-04,3651349.0
2019-05,3365014.0
2019-06,3392610.0
2019-07,3487059.0
2019-08,4361388.0
2019-09,4476805.0
2019-10,3566327.0
2019-11,3393710.0
2019-12,3695096.0
2020-01,4278589.0
2020-02,4316230.0
2020-03,3881890.0
2020-04,3688389.0
2020-05,3325294.0
2020-06,3390377.0
2020-07,3710865.0
2020-08,3921152.0
2020-09,3177307.0
2020-10,2288336.0
2020-11,3319611.0
2020-12,3603976.0
2021-01,4346802.0
2021-02,4480143.0
2021-03,3608322.0
2021-04,3578426.0
2021-05,3176073.0
2021-06,3315704.0
2021-07,3702445.0
2021-08,4665136.0
2021-09,4054610.0
2021-10,3430479.0
2021-11,3427044.0
2021-12,3650875.0
2022-01,4322634.0
2022-02,4440083.0
2022-03,3894855.0
2022-04,3679523.0
2022-05,3237999.0
2022-06,3432130.0
2022-07,3978965.0
2022-08,4701418.0
2022-09,4346043.0
2022-10,3586927.0
2022-11,3397308.0
2022-12,3626096.0
