YYYY-MM,CTY_GAS_USQNT
2015-01,914375.0
2015-02,717426.0
2015-03,788036.0
2015-04,769782.0
2015-05,680454.0
2015-06,544019.0
2015-07,517557.0
2015-08,422067.0
2015-09,482764.0
2015-10,613957.0
2015-11,908872.0
2015-12,1164077.0
2016-01,1287217.0
2016-02,1367274.0
2016-03,1217079.0
2016-04,1288417.0
2016-05,974929.0
2016-06,713332.0
2016-07,692941.0
2016-08,562807.0
2016-09,570968.0
2016-10,725552.0
2016-11,1101561.0
2016-12,1639318.0
2017-01,1724558.0
2017-02,1675736.0
2017-03,953961.0
2017-04,1153779.0
2017-05,958325.0
2017-06,722909.0
2017-07,706591.0
2017-08,1189467.0
2017-09,1237965.0
2017-10,660240.0
2017-11,892089.0
2017-12,1311448.0
2018-01,1589542.0
2018-02,1381109.0
2018-03,1442037.0
2018-04,1190243.0
2018-05,948257.0
2018-06,766925.0
2018-07,754354.0
2018-08,626024.0
2018-09,595132.0
2018-10,736443.0
2018-11,950291.0
2018-12,1145804.0
2019-01,1316994.0
2019-02,1336268.0
2019-03,1134742.0
2019-04,1121166.0
2019-05,1158490.0
2019-06,947789.0
2019-07,797392.0
2019-08,718438.0
2019-09,682256.0
2019-10,803652.0
2019-11,857474.0
2019-12,1000540.0
2020-01,1400227.0
2020-02,1305791.0
2020-03,1161401.0
2020-04,985340.0
2020-05,910409.0
2020-06,705954.0
2020-07,800509.0
2020-08,692468.0
2020-09,253032.0
2020-10,379705.0
2020-11,830618.0
2020-12,1087646.0
2021-01,1523289.0
2021-02,1361736.0
2021-03,1125069.0
2021-04,1141976.0
2021-05,1163374.0
2021-06,1057445.0
2021-07,1130195.0
2021-08,968043.0
2021-09,874003.0
2021-10,889710.0
2021-11,1128433.0
2021-12,1482800.0
2022-01,1766859.0
2022-02,1629108.0
2022-03,1573573.0
2022-04,1528397.0
2022-05,1196538.0
2022-06,1063832.0
2022-07,1092203.0
2022-08,1044705.0
2022-09,991066.0
2022-10,1048818.0
2022-11,1256897.0
2022-12,1523941.0
