YYYY-MM,ELRW_USQNT
2015-01,4275043.0
2015-02,4265655.0
2015-03,3705521.0
2015-04,3869571.0
2015-05,3627152.0
2015-06,3847354.0
2015-07,3882329.0
2015-08,4767239.0
2015-09,3966824.0
2015-10,3605635.0
2015-11,3901304.0
2015-12,4158118.0
2016-01,4401589.0
2016-02,4542459.0
2016-03,4020895.0
2016-04,3879375.0
2016-05,3639288.0
2016-06,3919472.0
2016-07,3791319.0
2016-08,4883645.0
2016-09,3932506.0
2016-10,3350424.0
2016-11,3572678.0
2016-12,3870804.0
2017-01,3879992.0
2017-02,4178200.0
2017-03,2072172.0
2017-04,2170800.0
2017-05,2022626.0
2017-06,1816519.0
2017-07,2604661.0
2017-08,3522391.0
2017-09,3635919.0
2017-10,3093549.0
2017-11,3313354.0
2017-12,3296369.0
2018-01,3809908.0
2018-02,3921115.0
2018-03,3343225.0
2018-04,3438135.0
2018-05,3213562.0
2018-06,3362978.0
2018-07,3537433.0
2018-08,5150340.0
2018-09,4119763.0
2018-10,3248094.0
2018-11,3168817.0
2018-12,3502931.0
2019-01,3830197.0
2019-02,3828339.0
2019-03,3369509.0
2019-04,3573043.0
2019-05,3805366.0
2019-06,3925923.0
2019-07,3996766.0
2019-08,4942063.0
2019-09,5416177.0
2019-10,4079137.0
2019-11,4013882.0
2019-12,4260202.0
2020-01,4513394.0
2020-02,4464897.0
2020-03,4084536.0
2020-04,4095598.0
2020-05,3845800.0
2020-06,4112257.0
2020-07,4277330.0
2020-08,4542318.0
2020-09,1042971.0
2020-10,753809.0
2020-11,4039225.0
2020-12,4294363.0
2021-01,4788939.0
2021-02,4714896.0
2021-03,3997094.0
2021-04,4176543.0
2021-05,4844459.0
2021-06,5342818.0
2021-07,5762809.0
2021-08,7486229.0
2021-09,6465632.0
2021-10,5209901.0
2021-11,5167923.0
2021-12,5531227.0
2022-01,6291326.0
2022-02,6259116.0
2022-03,5303015.0
2022-04,5353670.0
2022-05,4948542.0
2022-06,5335728.0
2022-07,6256290.0
2022-08,7467908.0
2022-09,6909344.0
2022-10,5366032.0
2022-11,5268569.0
2022-12,5795722.0
