YYYY-MM,CTY_GAS_USQNT
2015-01,50776126.0
2015-02,50296868.0
2015-03,42637113.0
2015-04,34338777.0
2015-05,21663836.0
2015-06,14834671.0
2015-07,15400222.0
2015-08,17458607.0
2015-09,18036876.0
2015-10,14145900.0
2015-11,15960981.0
2015-12,27243241.0
2016-01,41889381.0
2016-02,50503591.0
2016-03,42535911.0
2016-04,32493807.0
2016-05,18302536.0
2016-06,14250148.0
2016-07,15389758.0
2016-08,18138194.0
2016-09,19627655.0
2016-10,13598426.0
2016-11,16309534.0
2016-12,30681838.0
2017-01,41639621.0
2017-02,46590275.0
2017-03,38151745.0
2017-04,29407116.0
2017-05,16424580.0
2017-06,12680576.0
2017-07,14237192.0
2017-08,18139733.0
2017-09,16098315.0
2017-10,11293775.0
2017-11,13963053.0
2017-12,28965935.0
2018-01,42275474.0
2018-02,49128611.0
2018-03,39959613.0
2018-04,27913277.0
2018-05,16767302.0
2018-06,13075600.0
2018-07,13411747.0
2018-08,17752366.0
2018-09,18485911.0
2018-10,11919794.0
2018-11,16660387.0
2018-12,26864027.0
2019-01,40828382.0
2019-02,44536079.0
2019-03,35045915.0
2019-04,27065720.0
2019-05,19823018.0
2019-06,14369859.0
2019-07,14085932.0
2019-08,17846682.0
2019-09,18189499.0
2019-10,14441959.0
2019-11,15438401.0
2019-12,13772585.0
2020-01,40459219.0
2020-02,41470817.0
2020-03,35699593.0
2020-04,26505158.0
2020-05,19829909.0
2020-06,13123663.0
2020-07,13624232.0
2020-08,12647698.0
2020-09,11572799.0
2020-10,7349624.0
2020-11,16158384.0
2020-12,26072547.0
2021-01,43408705.0
2021-02,47071595.0
2021-03,34953045.0
2021-04,26060275.0
2021-05,15677758.0
2021-06,12550419.0
2021-07,12447421.0
2021-08,14907233.0
2021-09,12994238.0
2021-10,10483606.0
2021-11,15136799.0
2021-12,26091027.0
2022-01,39818565.0
2022-02,43606661.0
2022-03,38051696.0
2022-04,27042968.0
2022-05,15633214.0
2022-06,12376061.0
2022-07,12264194.0
2022-08,13095563.0
2022-09,13998461.0
2022-10,10412484.0
2022-11,14266954.0
2022-12,21236474.0
