YYYY-MM,ELRW_USQNT
2015-01,41803487.0
2015-02,39482808.0
2015-03,35011229.0
2015-04,33991158.0
2015-05,32160174.0
2015-06,35569679.0
2015-07,38875565.0
2015-08,44461913.0
2015-09,39922203.0
2015-10,32500910.0
2015-11,31634618.0
2015-12,34768680.0
2016-01,38809599.0
2016-02,40625548.0
2016-03,35152094.0
2016-04,32242715.0
2016-05,30771068.0
2016-06,35040421.0
2016-07,39688678.0
2016-08,47307498.0
2016-09,40977955.0
2016-10,31997836.0
2016-11,31810041.0
2016-12,35171425.0
2017-01,39030018.0
2017-02,39445269.0
2017-03,27513029.0
2017-04,26107526.0
2017-05,25041467.0
2017-06,27619916.0
2017-07,32417455.0
2017-08,30782498.0
2017-09,28649238.0
2017-10,26313624.0
2017-11,26634568.0
2017-12,29854855.0
2018-01,33395951.0
2018-02,33312343.0
2018-03,27923582.0
2018-04,26205737.0
2018-05,25905587.0
2018-06,28628897.0
2018-07,33288748.0
2018-08,41498793.0
2018-09,33724455.0
2018-10,25272869.0
2018-11,25166501.0
2018-12,28499665.0
2019-01,32765502.0
2019-02,30574603.0
2019-03,27171173.0
2019-04,26898606.0
2019-05,29998558.0
2019-06,32107574.0
2019-07,35644418.0
2019-08,42887015.0
2019-09,39577495.0
2019-10,31134263.0
2019-11,29431984.0
2019-12,33179757.0
2020-01,33844885.0
2020-02,33339821.0
2020-03,30389737.0
2020-04,28297017.0
2020-05,27034130.0
2020-06,30675029.0
2020-07,33503557.0
2020-08,36556000.0
2020-09,26226414.0
2020-10,19049781.0
2020-11,27559019.0
2020-12,31312267.0
2021-01,35921549.0
2021-02,34858597.0
2021-03,29134604.0
2021-04,28083572.0
2021-05,26628976.0
2021-06,30398707.0
2021-07,35243481.0
2021-08,41185360.0
2021-09,34292834.0
2021-10,28627005.0
2021-11,28011807.0
2021-12,31101435.0
2022-01,35213745.0
2022-02,34821986.0
2022-03,30716950.0
2022-04,28435422.0
2022-05,26839697.0
2022-06,29962828.0
2022-07,36249948.0
2022-08,40878461.0
2022-09,35213754.0
2022-10,28707215.0
2022-11,27372266.0
2022-12,31421975.0
