YYYY-MM,CTY_GAS_USQNT
2015-01,9528270.0
2015-02,9478390.0
2015-03,7710769.0
2015-04,6531262.0
2015-05,4253928.0
2015-06,3154254.0
2015-07,2922541.0
2015-08,3302227.0
2015-09,3390711.0
2015-10,2823098.0
2015-11,3264342.0
2015-12,5521534.0
2016-01,8017007.0
2016-02,9315705.0
2016-03,8259904.0
2016-04,6268448.0
2016-05,3646187.0
2016-06,3079530.0
2016-07,3067916.0
2016-08,3319255.0
2016-09,3725235.0
2016-10,2737978.0
2016-11,3390592.0
2016-12,6106163.0
2017-01,8072506.0
2017-02,9089871.0
2017-03,7241087.0
2017-04,5779258.0
2017-05,3515999.0
2017-06,2842385.0
2017-07,2741869.0
2017-08,3430946.0
2017-09,3290485.0
2017-10,2560009.0
2017-11,3146884.0
2017-12,6066486.0
2018-01,8529518.0
2018-02,9568654.0
2018-03,7484442.0
2018-04,5314498.0
2018-05,3305693.0
2018-06,2798372.0
2018-07,2722154.0
2018-08,2934626.0
2018-09,3145943.0
2018-10,2524965.0
2018-11,3527789.0
2018-12,5607626.0
2019-01,7951587.0
2019-02,8456936.0
2019-03,6274259.0
2019-04,5537616.0
2019-05,3974217.0
2019-06,3097477.0
2019-07,2758808.0
2019-08,3110076.0
2019-09,3078696.0
2019-10,2751798.0
2019-11,3351874.0
2019-12,3529952.0
2020-01,8199849.0
2020-02,7679994.0
2020-03,6288192.0
2020-04,4574293.0
2020-05,3414031.0
2020-06,2439140.0
2020-07,2418867.0
2020-08,1820541.0
2020-09,1775166.0
2020-10,1136103.0
2020-11,2730163.0
2020-12,5573420.0
2021-01,8236999.0
2021-02,8086087.0
2021-03,5980445.0
2021-04,4730130.0
2021-05,3061792.0
2021-06,2528527.0
2021-07,2443839.0
2021-08,2783167.0
2021-09,2369893.0
2021-10,2132646.0
2021-11,3283827.0
2021-12,5326640.0
2022-01,7412944.0
2022-02,7867694.0
2022-03,6755099.0
2022-04,5078753.0
2022-05,2970384.0
2022-06,2559099.0
2022-07,2701469.0
2022-08,2971935.0
2022-09,2972039.0
2022-10,2389639.0
2022-11,3139605.0
2022-12,5032184.0
