YYYY-MM,ELRW_USQNT
2015-01,7606540.0
2015-02,6888074.0
2015-03,6080030.0
2015-04,5490142.0
2015-05,5221524.0
2015-06,5726733.0
2015-07,6006649.0
2015-08,7276355.0
2015-09,6467517.0
2015-10,5106661.0
2015-11,5233702.0
2015-12,6119264.0
2016-01,4872924.0
2016-02,5017118.0
2016-03,4343379.0
2016-04,3744315.0
2016-05,3398683.0
2016-06,3798235.0
2016-07,4313228.0
2016-08,5194596.0
2016-09,4800056.0
2016-10,3600226.0
2016-11,3810805.0
2016-12,4477883.0
2017-01,4926462.0
2017-02,4994437.0
2017-03,3340529.0
2017-04,3140073.0
2017-05,2877446.0
2017-06,3103846.0
2017-07,3935599.0
2017-08,4186924.0
2017-09,3734111.0
2017-10,3189864.0
2017-11,3480919.0
2017-12,4263174.0
2018-01,4736484.0
2018-02,4729612.0
2018-03,3660200.0
2018-04,3367302.0
2018-05,3151032.0
2018-06,3520219.0
2018-07,3884180.0
2018-08,5252605.0
2018-09,4327688.0
2018-10,3091655.0
2018-11,3392597.0
2018-12,4091787.0
2019-01,4568339.0
2019-02,4270381.0
2019-03,3594439.0
2019-04,3490346.0
2019-05,3452315.0
2019-06,3820617.0
2019-07,4033249.0
2019-08,5032296.0
2019-09,4601623.0
2019-10,3666378.0
2019-11,3667249.0
2019-12,4478600.0
2020-01,4884727.0
2020-02,4590769.0
2020-03,3780241.0
2020-04,3443770.0
2020-05,3281354.0
2020-06,3807437.0
2020-07,3836234.0
2020-08,4269396.0
2020-09,2756235.0
2020-10,1948349.0
2020-11,3423578.0
2020-12,3999884.0
2021-01,4661955.0
2021-02,4247978.0
2021-03,3534860.0
2021-04,3287876.0
2021-05,3108939.0
2021-06,3560372.0
2021-07,4129052.0
2021-08,4922929.0
2021-09,3932229.0
2021-10,3325296.0
2021-11,3465005.0
2021-12,4021837.0
2022-01,4662820.0
2022-02,4549359.0
2022-03,3837937.0
2022-04,3419187.0
2022-05,3180950.0
2022-06,3677147.0
2022-07,4655959.0
2022-08,5060078.0
2022-09,4340852.0
2022-10,3518272.0
2022-11,3420091.0
2022-12,4235072.0
