YYYY-MM,ELRW_USQNT
2015-01,75593.0
2015-02,72514.0
2015-03,57139.0
2015-04,52021.0
2015-05,36610.0
2015-06,30725.0
2015-07,27812.0
2015-08,32759.0
2015-09,31302.0
2015-10,38722.0
2015-11,54065.0
2015-12,68209.0
2016-01,78348.0
2016-02,79362.0
2016-03,63494.0
2016-04,49447.0
2016-05,35185.0
2016-06,31003.0
2016-07,29108.0
2016-08,35924.0
2016-09,29207.0
2016-10,31421.0
2016-11,48885.0
2016-12,60347.0
2017-01,66193.0
2017-02,71092.0
2017-03,24497.0
2017-04,21121.0
2017-05,12335.0
2017-06,10776.0
2017-07,14451.0
2017-08,16348.0
2017-09,10172.0
2017-10,13955.0
2017-11,23406.0
2017-12,31391.0
2018-01,34510.0
2018-02,37203.0
2018-03,25644.0
2018-04,19520.0
2018-05,15457.0
2018-06,13634.0
2018-07,16557.0
2018-08,22933.0
2018-09,12432.0
2018-10,14518.0
2018-11,20135.0
2018-12,26978.0
2019-01,30809.0
2019-02,29987.0
2019-03,22145.0
2019-04,21236.0
2019-05,15123.0
2019-06,12923.0
2019-07,14108.0
2019-08,20644.0
2019-09,14888.0
2019-10,14618.0
2019-11,21159.0
2019-12,25304.0
2020-01,27839.0
2020-02,25996.0
2020-03,21216.0
2020-04,20676.0
2020-05,16756.0
2020-06,15096.0
2020-07,13950.0
2020-08,17528.0
2020-09,15778.0
2020-10,14444.0
2020-11,19726.0
2020-12,27459.0
2021-01,33832.0
2021-02,30148.0
2021-03,21367.0
2021-04,18167.0
2021-05,14999.0
2021-06,13938.0
2021-07,14842.0
2021-08,18523.0
2021-09,16550.0
2021-10,19607.0
2021-11,26619.0
2021-12,64583.0
2022-01,73244.0
2022-02,73186.0
2022-03,61328.0
2022-04,62431.0
2022-05,56886.0
2022-06,56969.0
2022-07,55429.0
2022-08,58706.0
2022-09,48067.0
2022-10,21199.0
2022-11,24805.0
2022-12,32954.0
