YYYY-MM,CTY_GAS_USQNT
2015-01,1105834.0
2015-02,939434.0
2015-03,877591.0
2015-04,685358.0
2015-05,481246.0
2015-06,339256.0
2015-07,310069.0
2015-08,288609.0
2015-09,223373.0
2015-10,286338.0
2015-11,452662.0
2015-12,729517.0
2016-01,1138264.0
2016-02,1185942.0
2016-03,1007584.0
2016-04,827606.0
2016-05,474738.0
2016-06,318359.0
2016-07,316030.0
2016-08,329662.0
2016-09,273845.0
2016-10,339922.0
2016-11,597954.0
2016-12,1019570.0
2017-01,1282640.0
2017-02,1444906.0
2017-03,826749.0
2017-04,722529.0
2017-05,419436.0
2017-06,305911.0
2017-07,432848.0
2017-08,324482.0
2017-09,251279.0
2017-10,279772.0
2017-11,413463.0
2017-12,776730.0
2018-01,1017717.0
2018-02,1065741.0
2018-03,880111.0
2018-04,677719.0
2018-05,438065.0
2018-06,331744.0
2018-07,299806.0
2018-08,310894.0
2018-09,292110.0
2018-10,319178.0
2018-11,483581.0
2018-12,748645.0
2019-01,995891.0
2019-02,961885.0
2019-03,754911.0
2019-04,665598.0
2019-05,433271.0
2019-06,327207.0
2019-07,279991.0
2019-08,289227.0
2019-09,207333.0
2019-10,282523.0
2019-11,376635.0
2019-12,379650.0
2020-01,949659.0
2020-02,1361953.0
2020-03,1129279.0
2020-04,844305.0
2020-05,606329.0
2020-06,390834.0
2020-07,368551.0
2020-08,322153.0
2020-09,235173.0
2020-10,246126.0
2020-11,624923.0
2020-12,1002949.0
2021-01,1576125.0
2021-02,1417591.0
2021-03,1189028.0
2021-04,825650.0
2021-05,575608.0
2021-06,416612.0
2021-07,353577.0
2021-08,307225.0
2021-09,248899.0
2021-10,316282.0
2021-11,605953.0
2021-12,1049428.0
2022-01,1489741.0
2022-02,1562408.0
2022-03,1237115.0
2022-04,952096.0
2022-05,543736.0
2022-06,406194.0
2022-07,344189.0
2022-08,319309.0
2022-09,281673.0
2022-10,459086.0
2022-11,860742.0
2022-12,1390043.0
