YYYY-MM,CTY_GAS_USQNT
2015-01,8484424.0
2015-02,7427026.0
2015-03,6908988.0
2015-04,5426313.0
2015-05,3412745.0
2015-06,2003226.0
2015-07,1531429.0
2015-08,1419333.0
2015-09,1589388.0
2015-10,1853065.0
2015-11,2966748.0
2015-12,5175472.0
2016-01,7007233.0
2016-02,7978650.0
2016-03,6518444.0
2016-04,4987241.0
2016-05,2749061.0
2016-06,1826849.0
2016-07,1607353.0
2016-08,1513733.0
2016-09,1682816.0
2016-10,1850926.0
2016-11,3342401.0
2016-12,6040556.0
2017-01,7134896.0
2017-02,7902908.0
2017-03,7869233.0
2017-04,6100615.0
2017-05,3415923.0
2017-06,2238509.0
2017-07,1892352.0
2017-08,1705498.0
2017-09,1813661.0
2017-10,2173889.0
2017-11,4132859.0
2017-12,8151013.0
2018-01,10501822.0
2018-02,10886480.0
2018-03,8230642.0
2018-04,6065810.0
2018-05,3638256.0
2018-06,2379961.0
2018-07,2006019.0
2018-08,1651346.0
2018-09,1728938.0
2018-10,2581140.0
2018-11,4496690.0
2018-12,7445249.0
2019-01,9747672.0
2019-02,9563641.0
2019-03,6821634.0
2019-04,6437034.0
2019-05,3684463.0
2019-06,2294051.0
2019-07,1892003.0
2019-08,1647021.0
2019-09,1575266.0
2019-10,2207909.0
2019-11,3725863.0
2019-12,1979942.0
2020-01,9028550.0
2020-02,8678140.0
2020-03,7101617.0
2020-04,5388760.0
2020-05,3639353.0
2020-06,2176101.0
2020-07,1907498.0
2020-08,1817302.0
2020-09,572727.0
2020-10,641133.0
2020-11,4531330.0
2020-12,7538834.0
2021-01,11336477.0
2021-02,9478764.0
2021-03,6876146.0
2021-04,5430761.0
2021-05,3408966.0
2021-06,2237625.0
2021-07,1786855.0
2021-08,1453565.0
2021-09,1422462.0
2021-10,2141529.0
2021-11,5052545.0
2021-12,8125506.0
2022-01,11191258.0
2022-02,11464325.0
2022-03,8909190.0
2022-04,6747482.0
2022-05,3639869.0
2022-06,2375178.0
2022-07,1833469.0
2022-08,1718638.0
2022-09,1731780.0
2022-10,2304722.0
2022-11,4622817.0
2022-12,7777858.0
