YYYY-MM,ELRW_USQNT
2015-01,35798.0
2015-02,32442.0
2015-03,26515.0
2015-04,23669.0
2015-05,21372.0
2015-06,20613.0
2015-07,19042.0
2015-08,21893.0
2015-09,19433.0
2015-10,19717.0
2015-11,23811.0
2015-12,29050.0
2016-01,34328.0
2016-02,33619.0
2016-03,24630.0
2016-04,22029.0
2016-05,19604.0
2016-06,19104.0
2016-07,19264.0
2016-08,22336.0
2016-09,20120.0
2016-10,20249.0
2016-11,24636.0
2016-12,25801.0
2017-01,30612.0
2017-02,30087.0
2017-03,3307.0
2017-04,2846.0
2017-05,2047.0
2017-06,1804.0
2017-07,2036.0
2017-08,1849.0
2017-09,3471.0
2017-10,5613.0
2017-11,6199.0
2017-12,7087.0
2018-01,7381.0
2018-02,7730.0
2018-03,5969.0
2018-04,6181.0
2018-05,4818.0
2018-06,4179.0
2018-07,4561.0
2018-08,5137.0
2018-09,5049.0
2018-10,5414.0
2018-11,6585.0
2018-12,7569.0
2019-01,7136.0
2019-02,6629.0
2019-03,5604.0
2019-04,5087.0
2019-05,3771.0
2019-06,3524.0
2019-07,3367.0
2019-08,4157.0
2019-09,5157.0
2019-10,5234.0
2019-11,6065.0
2019-12,6521.0
2020-01,6272.0
2020-02,6806.0
2020-03,5785.0
2020-04,5427.0
2020-05,3829.0
2020-06,3425.0
2020-07,4535.0
2020-08,5426.0
2020-09,5318.0
2020-10,3904.0
2020-11,5572.0
2020-12,6688.0
2021-01,8251.0
2021-02,7393.0
2021-03,5461.0
2021-04,4568.0
2021-05,4091.0
2021-06,3666.0
2021-07,4251.0
2021-08,4568.0
2021-09,3855.0
2021-10,4137.0
2021-11,6637.0
2021-12,6570.0
2022-01,7256.0
2022-02,7161.0
2022-03,5528.0
2022-04,5231.0
2022-05,4038.0
2022-06,3719.0
2022-07,4108.0
2022-08,4651.0
2022-09,4252.0
2022-10,4315.0
2022-11,5858.0
2022-12,7751.0
