YYYY-MM,ELRW_USQNT
2015-01,170820.0
2015-02,158272.0
2015-03,125038.0
2015-04,111017.0
2015-05,74559.0
2015-06,55898.0
2015-07,47396.0
2015-08,57748.0
2015-09,54395.0
2015-10,72635.0
2015-11,102424.0
2015-12,132739.0
2016-01,164340.0
2016-02,161732.0
2016-03,133030.0
2016-04,98368.0
2016-05,73590.0
2016-06,54388.0
2016-07,48541.0
2016-08,62304.0
2016-09,50133.0
2016-10,65660.0
2016-11,104878.0
2016-12,136898.0
2017-01,148940.0
2017-02,159042.0
2017-03,98170.0
2017-04,77458.0
2017-05,48954.0
2017-06,33747.0
2017-07,29165.0
2017-08,19349.0
2017-09,29758.0
2017-10,43911.0
2017-11,72746.0
2017-12,104151.0
2018-01,117521.0
2018-02,122665.0
2018-03,85320.0
2018-04,66688.0
2018-05,48160.0
2018-06,34348.0
2018-07,32753.0
2018-08,41864.0
2018-09,33277.0
2018-10,49581.0
2018-11,78607.0
2018-12,99836.0
2019-01,118669.0
2019-02,111476.0
2019-03,82911.0
2019-04,78852.0
2019-05,52525.0
2019-06,36512.0
2019-07,31904.0
2019-08,40987.0
2019-09,33991.0
2019-10,44798.0
2019-11,73646.0
2019-12,93004.0
2020-01,104978.0
2020-02,100975.0
2020-03,83764.0
2020-04,73768.0
2020-05,52965.0
2020-06,36202.0
2020-07,32184.0
2020-08,38164.0
2020-09,37157.0
2020-10,47729.0
2020-11,74992.0
2020-12,94930.0
2021-01,119277.0
2021-02,117073.0
2021-03,76120.0
2021-04,66514.0
2021-05,47249.0
2021-06,39698.0
2021-07,36989.0
2021-08,40376.0
2021-09,33557.0
2021-10,38180.0
2021-11,77720.0
2021-12,95185.0
2022-01,115414.0
2022-02,112924.0
2022-03,88524.0
2022-04,77814.0
2022-05,49261.0
2022-06,35903.0
2022-07,39040.0
2022-08,43643.0
2022-09,35874.0
2022-10,45068.0
2022-11,71513.0
2022-12,94389.0
