YYYY-MM,ELRW_USQNT
2015-01,33729.0
2015-02,32718.0
2015-03,25085.0
2015-04,24412.0
2015-05,16235.0
2015-06,14428.0
2015-07,14190.0
2015-08,16214.0
2015-09,15209.0
2015-10,17904.0
2015-11,23429.0
2015-12,27536.0
2016-01,30391.0
2016-02,31194.0
2016-03,24775.0
2016-04,19782.0
2016-05,15860.0
2016-06,14028.0
2016-07,13350.0
2016-08,15191.0
2016-09,13613.0
2016-10,13824.0
2016-11,18829.0
2016-12,23120.0
2017-01,25310.0
2017-02,25985.0
2017-03,1934.0
2017-04,1957.0
2017-05,2015.0
2017-06,1886.0
2017-07,2867.0
2017-08,1185.0
2017-09,914.0
2017-10,3259.0
2017-11,4905.0
2017-12,5383.0
2018-01,6079.0
2018-02,7149.0
2018-03,5024.0
2018-04,4244.0
2018-05,3853.0
2018-06,3165.0
2018-07,3200.0
2018-08,4227.0
2018-09,2880.0
2018-10,4287.0
2018-11,4750.0
2018-12,5542.0
2019-01,6071.0
2019-02,4898.0
2019-03,4045.0
2019-04,4106.0
2019-05,3313.0
2019-06,2564.0
2019-07,2637.0
2019-08,3152.0
2019-09,2638.0
2019-10,2420.0
2019-11,2833.0
2019-12,3058.0
2020-01,2039.0
2020-02,1571.0
2020-03,1022.0
2020-04,987.0
2020-05,1018.0
2020-06,1313.0
2020-07,1266.0
2020-08,2620.0
2020-09,2015.0
2020-10,2186.0
2020-11,2895.0
2020-12,5221.0
2021-01,6274.0
2021-02,5706.0
2021-03,2959.0
2021-04,1508.0
2021-05,1229.0
2021-06,1186.0
2021-07,1297.0
2021-08,1659.0
2021-09,1249.0
2021-10,1557.0
2021-11,3612.0
2021-12,5058.0
2022-01,6773.0
2022-02,6298.0
2022-03,6439.0
2022-04,6352.0
2022-05,4214.0
2022-06,3814.0
2022-07,4099.0
2022-08,5497.0
2022-09,5952.0
2022-10,9033.0
2022-11,19159.0
2022-12,14322.0
