YYYY-MM,ELRW_USQNT
2015-01,268478.0
2015-02,232963.0
2015-03,194133.0
2015-04,176849.0
2015-05,156702.0
2015-06,151267.0
2015-07,150342.0
2015-08,137259.0
2015-09,143230.0
2015-10,165444.0
2015-11,179921.0
2015-12,225859.0
2016-01,237946.0
2016-02,232111.0
2016-03,220138.0
2016-04,196523.0
2016-05,186236.0
2016-06,91354.0
2016-07,160338.0
2016-08,169816.0
2016-09,155243.0
2016-10,162547.0
2016-11,189355.0
2016-12,201073.0
2017-01,179694.0
2017-02,187287.0
2017-03,132337.0
2017-04,110085.0
2017-05,101666.0
2017-06,94329.0
2017-07,111766.0
2017-08,130124.0
2017-09,141379.0
2017-10,136203.0
2017-11,159263.0
2017-12,173677.0
2018-01,193658.0
2018-02,184170.0
2018-03,179873.0
2018-04,166910.0
2018-05,163661.0
2018-06,160663.0
2018-07,151911.0
2018-08,145189.0
2018-09,149535.0
2018-10,159818.0
2018-11,180799.0
2018-12,204388.0
2019-01,176906.0
2019-02,169104.0
2019-03,173397.0
2019-04,166479.0
2019-05,172670.0
2019-06,155336.0
2019-07,168049.0
2019-08,170470.0
2019-09,159506.0
2019-10,178747.0
2019-11,196789.0
2019-12,198995.0
2020-01,205536.0
2020-02,192160.0
2020-03,174900.0
2020-04,172822.0
2020-05,161093.0
2020-06,163541.0
2020-07,162093.0
2020-08,159706.0
2020-09,155730.0
2020-10,161055.0
2020-11,185887.0
2020-12,206411.0
2021-01,213657.0
2021-02,183910.0
2021-03,181634.0
2021-04,179413.0
2021-05,180597.0
2021-06,168285.0
2021-07,162663.0
2021-08,151857.0
2021-09,124445.0
2021-10,137708.0
2021-11,160379.0
2021-12,172815.0
2022-01,186010.0
2022-02,169432.0
2022-03,152524.0
2022-04,152417.0
2022-05,135995.0
2022-06,118361.0
2022-07,134552.0
2022-08,153723.0
2022-09,141366.0
2022-10,144402.0
2022-11,142946.0
2022-12,192472.0
