YYYY-MM,ELRW_USQNT
2015-01,12789251.0
2015-02,12292720.0
2015-03,10558537.0
2015-04,10433933.0
2015-05,9576374.0
2015-06,10147447.0
2015-07,10697576.0
2015-08,12873510.0
2015-09,11156167.0
2015-10,9450792.0
2015-11,9899397.0
2015-12,10805107.0
2016-01,11959438.0
2016-02,12425531.0
2016-03,10953751.0
2016-04,10180863.0
2016-05,9375198.0
2016-06,10182345.0
2016-07,10848123.0
2016-08,13318031.0
2016-09,11714170.0
2016-10,9123468.0
2016-11,9512875.0
2016-12,10487076.0
2017-01,11440817.0
2017-02,11728055.0
2017-03,8267660.0
2017-04,8203416.0
2017-05,7514384.0
2017-06,7984864.0
2017-07,8457454.0
2017-08,10784116.0
2017-09,8848543.0
2017-10,7813100.0
2017-11,7522423.0
2017-12,8757757.0
2018-01,9600964.0
2018-02,10665223.0
2018-03,7936152.0
2018-04,7731605.0
2018-05,7901489.0
2018-06,8553098.0
2018-07,9460468.0
2018-08,13745601.0
2018-09,10235910.0
2018-10,6672528.0
2018-11,7018730.0
2018-12,8211839.0
2019-01,9509445.0
2019-02,9138126.0
2019-03,8557255.0
2019-04,8647670.0
2019-05,7655020.0
2019-06,9115604.0
2019-07,8913872.0
2019-08,11127054.0
2019-09,10861999.0
2019-10,8325387.0
2019-11,8678321.0
2019-12,9006709.0
2020-01,10331461.0
2020-02,10157205.0
2020-03,9158671.0
2020-04,8755990.0
2020-05,8277505.0
2020-06,8850164.0
2020-07,9376200.0
2020-08,10100806.0
2020-09,5046841.0
2020-10,3621163.0
2020-11,8465426.0
2020-12,9255696.0
2021-01,10506838.0
2021-02,10154790.0
2021-03,8587429.0
2021-04,8224480.0
2021-05,7639874.0
2021-06,8379760.0
2021-07,9210362.0
2021-08,11712157.0
2021-09,9950863.0
2021-10,8010972.0
2021-11,8113642.0
2021-12,8830334.0
2022-01,10119606.0
2022-02,9995547.0
2022-03,8661929.0
2022-04,8332737.0
2022-05,7544580.0
2022-06,8165482.0
2022-07,9770613.0
2022-08,11346984.0
2022-09,10174728.0
2022-10,8447141.0
2022-11,8255853.0
2022-12,9122455.0
