YYYY-MM,ELRW_USQNT
2015-01,689346.0
2015-02,658501.0
2015-03,514326.0
2015-04,445503.0
2015-05,329943.0
2015-06,268428.0
2015-07,248541.0
2015-08,290427.0
2015-09,252541.0
2015-10,305569.0
2015-11,423101.0
2015-12,517334.0
2016-01,615012.0
2016-02,651713.0
2016-03,527260.0
2016-04,401418.0
2016-05,313678.0
2016-06,260694.0
2016-07,242399.0
2016-08,280506.0
2016-09,234624.0
2016-10,272395.0
2016-11,405334.0
2016-12,524067.0
2017-01,575596.0
2017-02,579917.0
2017-03,427578.0
2017-04,363812.0
2017-05,263047.0
2017-06,222441.0
2017-07,227145.0
2017-08,189387.0
2017-09,177917.0
2017-10,272344.0
2017-11,410109.0
2017-12,500986.0
2018-01,546894.0
2018-02,612809.0
2018-03,414275.0
2018-04,342604.0
2018-05,264537.0
2018-06,227298.0
2018-07,238711.0
2018-08,268390.0
2018-09,216308.0
2018-10,267566.0
2018-11,369480.0
2018-12,493600.0
2019-01,605887.0
2019-02,585759.0
2019-03,422003.0
2019-04,395611.0
2019-05,287335.0
2019-06,243144.0
2019-07,225145.0
2019-08,267583.0
2019-09,220970.0
2019-10,254357.0
2019-11,356168.0
2019-12,472970.0
2020-01,553791.0
2020-02,525008.0
2020-03,387566.0
2020-04,310158.0
2020-05,251198.0
2020-06,214558.0
2020-07,200318.0
2020-08,243380.0
2020-09,213551.0
2020-10,256570.0
2020-11,366079.0
2020-12,471512.0
2021-01,586396.0
2021-02,507079.0
2021-03,356428.0
2021-04,313428.0
2021-05,253749.0
2021-06,233165.0
2021-07,222102.0
2021-08,237871.0
2021-09,218989.0
2021-10,250113.0
2021-11,380953.0
2021-12,474231.0
2022-01,620448.0
2022-02,612159.0
2022-03,439602.0
2022-04,373629.0
2022-05,274568.0
2022-06,235669.0
2022-07,244510.0
2022-08,266143.0
2022-09,236398.0
2022-10,287640.0
2022-11,396682.0
2022-12,499228.0
