YYYY-MM,CTY_GAS_USQNT
2015-01,8735245.0
2015-02,8029132.0
2015-03,7914320.0
2015-04,6053080.0
2015-05,4333368.0
2015-06,2203187.0
2015-07,2164656.0
2015-08,1493042.0
2015-09,1662047.0
2015-10,1641592.0
2015-11,2861696.0
2015-12,5063887.0
2016-01,7697187.0
2016-02,9647182.0
2016-03,8417841.0
2016-04,6039012.0
2016-05,3815309.0
2016-06,2209418.0
2016-07,2143499.0
2016-08,1476983.0
2016-09,1902419.0
2016-10,1683853.0
2016-11,3229368.0
2016-12,6181682.0
2017-01,8036807.0
2017-02,8753782.0
2017-03,8781959.0
2017-04,6482236.0
2017-05,4053636.0
2017-06,2374825.0
2017-07,2166290.0
2017-08,1541820.0
2017-09,1653887.0
2017-10,1493964.0
2017-11,3361252.0
2017-12,6430901.0
2018-01,9091238.0
2018-02,10164885.0
2018-03,8900721.0
2018-04,5964094.0
2018-05,4169472.0
2018-06,2400603.0
2018-07,2134532.0
2018-08,1430896.0
2018-09,1528794.0
2018-10,1621307.0
2018-11,3753786.0
2018-12,5842163.0
2019-01,8824599.0
2019-02,9273281.0
2019-03,8345391.0
2019-04,6130429.0
2019-05,4404715.0
2019-06,2466412.0
2019-07,2294458.0
2019-08,1563221.0
2019-09,1663168.0
2019-10,1650500.0
2019-11,3253889.0
2019-12,4314033.0
2020-01,8521854.0
2020-02,8552207.0
2020-03,8136702.0
2020-04,6081430.0
2020-05,4902939.0
2020-06,2361165.0
2020-07,2301007.0
2020-08,1569566.0
2020-09,766166.0
2020-10,915986.0
2020-11,4129881.0
2020-12,6087312.0
2021-01,9927836.0
2021-02,9829387.0
2021-03,7905733.0
2021-04,5894565.0
2021-05,4039982.0
2021-06,2568317.0
2021-07,2205605.0
2021-08,1545055.0
2021-09,1879493.0
2021-10,1751572.0
2021-11,3947025.0
2021-12,6116176.0
2022-01,9359058.0
2022-02,10108941.0
2022-03,8857336.0
2022-04,6538491.0
2022-05,4303036.0
2022-06,2555698.0
2022-07,2240298.0
2022-08,1551202.0
2022-09,1970972.0
2022-10,1933870.0
2022-11,4093603.0
2022-12,5689160.0
