YYYY-MM,ELRW_USQNT
2015-01,3606294.0
2015-02,3504555.0
2015-03,3035100.0
2015-04,2940084.0
2015-05,2604818.0
2015-06,2598700.0
2015-07,2722721.0
2015-08,3253276.0
2015-09,2906356.0
2015-10,2496047.0
2015-11,2696544.0
2015-12,3002218.0
2016-01,3361268.0
2016-02,3574450.0
2016-03,3089292.0
2016-04,2843617.0
2016-05,2592624.0
2016-06,2721262.0
2016-07,2842766.0
2016-08,3410609.0
2016-09,3073553.0
2016-10,2517470.0
2016-11,2694422.0
2016-12,3041428.0
2017-01,3344267.0
2017-02,3461506.0
2017-03,2498405.0
2017-04,2477720.0
2017-05,2174986.0
2017-06,2160274.0
2017-07,2398418.0
2017-08,2796688.0
2017-09,2439585.0
2017-10,2480087.0
2017-11,3178972.0
2017-12,2934729.0
2018-01,3076397.0
2018-02,3100718.0
2018-03,2427262.0
2018-04,2384327.0
2018-05,2178543.0
2018-06,2289870.0
2018-07,2525882.0
2018-08,3587678.0
2018-09,2583738.0
2018-10,2131257.0
2018-11,2400414.0
2018-12,2691954.0
2019-01,3000216.0
2019-02,2870547.0
2019-03,2397281.0
2019-04,2452424.0
2019-05,2273876.0
2019-06,2349199.0
2019-07,2470724.0
2019-08,3181723.0
2019-09,2695554.0
2019-10,2279497.0
2019-11,2432330.0
2019-12,2788151.0
2020-01,3029777.0
2020-02,3019602.0
2020-03,2565566.0
2020-04,2495137.0
2020-05,2292436.0
2020-06,2423490.0
2020-07,2351177.0
2020-08,2738426.0
2020-09,1266186.0
2020-10,921530.0
2020-11,2401888.0
2020-12,2733851.0
2021-01,3192416.0
2021-02,3010551.0
2021-03,2407597.0
2021-04,2368756.0
2021-05,2204088.0
2021-06,2418856.0
2021-07,2675306.0
2021-08,3329590.0
2021-09,2606794.0
2021-10,2301769.0
2021-11,2490050.0
2021-12,2725874.0
2022-01,3154254.0
2022-02,3099348.0
2022-03,2562720.0
2022-04,2510368.0
2022-05,2245865.0
2022-06,2383061.0
2022-07,3029332.0
2022-08,3269639.0
2022-09,2675328.0
2022-10,2285785.0
2022-11,2441157.0
2022-12,2769820.0
