YYYY-MM,CTY_GAS_USQNT
2015-01,9217042.0
2015-02,9038887.0
2015-03,7470441.0
2015-04,6197687.0
2015-05,3788845.0
2015-06,3080181.0
2015-07,3319562.0
2015-08,4056725.0
2015-09,3698742.0
2015-10,3184217.0
2015-11,3191998.0
2015-12,5415508.0
2016-01,7996408.0
2016-02,10217865.0
2016-03,8213260.0
2016-04,6451845.0
2016-05,3547522.0
2016-06,3275938.0
2016-07,3496899.0
2016-08,4150764.0
2016-09,4281390.0
2016-10,3321893.0
2016-11,3422912.0
2016-12,6374628.0
2017-01,8403735.0
2017-02,9772339.0
2017-03,6823915.0
2017-04,5189596.0
2017-05,2834349.0
2017-06,2513768.0
2017-07,2409206.0
2017-08,4010160.0
2017-09,3772171.0
2017-10,2213079.0
2017-11,2612850.0
2017-12,5530576.0
2018-01,7372768.0
2018-02,8689869.0
2018-03,6491961.0
2018-04,4892796.0
2018-05,2880161.0
2018-06,2466846.0
2018-07,2272641.0
2018-08,2855611.0
2018-09,2681637.0
2018-10,2259593.0
2018-11,2995520.0
2018-12,4949048.0
2019-01,6915459.0
2019-02,7377081.0
2019-03,5621274.0
2019-04,4847124.0
2019-05,4158474.0
2019-06,3382459.0
2019-07,2942742.0
2019-08,3828870.0
2019-09,3432864.0
2019-10,2998203.0
2019-11,3323268.0
2019-12,2275528.0
2020-01,7809960.0
2020-02,8112795.0
2020-03,6486948.0
2020-04,4914910.0
2020-05,3375520.0
2020-06,2787088.0
2020-07,2732805.0
2020-08,2805790.0
2020-09,2918615.0
2020-10,1829110.0
2020-11,3272856.0
2020-12,5289555.0
2021-01,8261046.0
2021-02,8232068.0
2021-03,6295627.0
2021-04,4838666.0
2021-05,3124853.0
2021-06,2623232.0
2021-07,2609456.0
2021-08,3163825.0
2021-09,2627960.0
2021-10,2548084.0
2021-11,3513200.0
2021-12,5458723.0
2022-01,8050907.0
2022-02,8675235.0
2022-03,7355487.0
2022-04,5536358.0
2022-05,3109621.0
2022-06,2916523.0
2022-07,2849443.0
2022-08,3281711.0
2022-09,3123447.0
2022-10,3047355.0
2022-11,3597071.0
2022-12,5741095.0
