YYYY-MM,ELRW_USQNT
2015-01,14558128.0
2015-02,13724332.0
2015-03,12516877.0
2015-04,12358139.0
2015-05,11964084.0
2015-06,12661931.0
2015-07,13785611.0
2015-08,15454313.0
2015-09,14119849.0
2015-10,12148347.0
2015-11,11878496.0
2015-12,12782836.0
2016-01,14001949.0
2016-02,14490464.0
2016-03,13245894.0
2016-04,12475439.0
2016-05,12153636.0
2016-06,13197422.0
2016-07,14682459.0
2016-08,16801593.0
2016-09,15060622.0
2016-10,12492728.0
2016-11,12237663.0
2016-12,13345324.0
2017-01,14619386.0
2017-02,14527252.0
2017-03,11952894.0
2017-04,11384202.0
2017-05,10975194.0
2017-06,11492016.0
2017-07,13124386.0
2017-08,13404624.0
2017-09,11857900.0
2017-10,11142618.0
2017-11,11439510.0
2017-12,12583409.0
2018-01,13860805.0
2018-02,13772089.0
2018-03,12409801.0
2018-04,11739615.0
2018-05,11512948.0
2018-06,12629691.0
2018-07,14041642.0
2018-08,16780694.0
2018-09,13947162.0
2018-10,11329125.0
2018-11,11377187.0
2018-12,12619567.0
2019-01,14260711.0
2019-02,13262441.0
2019-03,12584929.0
2019-04,12294244.0
2019-05,13466720.0
2019-06,14241667.0
2019-07,15723617.0
2019-08,18216101.0
2019-09,16590836.0
2019-10,14401971.0
2019-11,13590646.0
2019-12,14890621.0
2020-01,16094108.0
2020-02,15485755.0
2020-03,14832307.0
2020-04,13901729.0
2020-05,13879391.0
2020-06,15005546.0
2020-07,16001077.0
2020-08,17029880.0
2020-09,14931206.0
2020-10,12502693.0
2020-11,13812292.0
2020-12,15319650.0
2021-01,17008040.0
2021-02,16008744.0
2021-03,14628573.0
2021-04,13914971.0
2021-05,13708769.0
2021-06,14684701.0
2021-07,16367332.0
2021-08,18152727.0
2021-09,15861171.0
2021-10,14506623.0
2021-11,14244076.0
2021-12,15344528.0
2022-01,16829473.0
2022-02,16166837.0
2022-03,15621592.0
2022-04,14727671.0
2022-05,14420877.0
2022-06,15123486.0
2022-07,17246429.0
2022-08,18377577.0
2022-09,16480695.0
2022-10,15257777.0
2022-11,14481033.0
2022-12,15677700.0
