YYYY-MM,ELRW_USQNT
2015-01,153264.0
2015-02,148592.0
2015-03,117936.0
2015-04,104515.0
2015-05,74879.0
2015-06,63311.0
2015-07,61330.0
2015-08,67006.0
2015-09,62909.0
2015-10,69596.0
2015-11,93131.0
2015-12,114904.0
2016-01,132391.0
2016-02,129557.0
2016-03,103906.0
2016-04,83989.0
2016-05,66765.0
2016-06,58318.0
2016-07,60989.0
2016-08,68871.0
2016-09,60589.0
2016-10,67793.0
2016-11,94121.0
2016-12,118528.0
2017-01,132465.0
2017-02,134269.0
2017-03,53106.0
2017-04,47857.0
2017-05,33008.0
2017-06,28737.0
2017-07,34763.0
2017-08,31346.0
2017-09,28580.0
2017-10,35130.0
2017-11,53402.0
2017-12,72021.0
2018-01,82095.0
2018-02,89672.0
2018-03,61292.0
2018-04,52030.0
2018-05,42666.0
2018-06,36023.0
2018-07,42779.0
2018-08,56153.0
2018-09,41965.0
2018-10,42923.0
2018-11,59486.0
2018-12,82674.0
2019-01,95931.0
2019-02,90129.0
2019-03,69421.0
2019-04,61508.0
2019-05,43500.0
2019-06,39468.0
2019-07,40989.0
2019-08,51535.0
2019-09,41850.0
2019-10,41841.0
2019-11,57319.0
2019-12,77452.0
2020-01,82509.0
2020-02,73668.0
2020-03,60864.0
2020-04,52882.0
2020-05,40999.0
2020-06,38567.0
2020-07,38838.0
2020-08,48415.0
2020-09,43549.0
2020-10,39407.0
2020-11,57804.0
2020-12,77174.0
2021-01,85262.0
2021-02,72718.0
2021-03,57189.0
2021-04,45355.0
2021-05,34584.0
2021-06,33404.0
2021-07,35471.0
2021-08,37940.0
2021-09,33427.0
2021-10,36369.0
2021-11,45037.0
2021-12,62570.0
2022-01,75111.0
2022-02,72968.0
2022-03,53272.0
2022-04,44024.0
2022-05,31814.0
2022-06,31956.0
2022-07,38925.0
2022-08,42442.0
2022-09,33088.0
2022-10,37991.0
2022-11,49797.0
2022-12,70417.0
