YYYY-MM,CTY_GAS_USQNT
2015-01,3191018.0
2015-02,2937526.0
2015-03,2734013.0
2015-04,2028739.0
2015-05,973901.0
2015-06,681129.0
2015-07,1452628.0
2015-08,1815946.0
2015-09,2084326.0
2015-10,1399375.0
2015-11,612026.0
2015-12,1281453.0
2016-01,2408974.0
2016-02,3410076.0
2016-03,2742153.0
2016-04,2157077.0
2016-05,890217.0
2016-06,695870.0
2016-07,1500698.0
2016-08,2566358.0
2016-09,2639538.0
2016-10,1114508.0
2016-11,563959.0
2016-12,1363459.0
2017-01,1996371.0
2017-02,2694285.0
2017-03,2429828.0
2017-04,1644191.0
2017-05,787470.0
2017-06,700360.0
2017-07,1384486.0
2017-08,2197423.0
2017-09,1870262.0
2017-10,919986.0
2017-11,471908.0
2017-12,1388303.0
2018-01,2064870.0
2018-02,3036396.0
2018-03,2296221.0
2018-04,1398225.0
2018-05,679658.0
2018-06,678728.0
2018-07,1161282.0
2018-08,2180367.0
2018-09,2475634.0
2018-10,922115.0
2018-11,586180.0
2018-12,1183157.0
2019-01,1936552.0
2019-02,2957235.0
2019-03,1930809.0
2019-04,1439266.0
2019-05,882527.0
2019-06,835518.0
2019-07,1023977.0
2019-08,1937728.0
2019-09,2488730.0
2019-10,1394809.0
2019-11,725780.0
2019-12,842795.0
2020-01,2037965.0
2020-02,2234116.0
2020-03,2228076.0
2020-04,1427023.0
2020-05,961576.0
2020-06,621470.0
2020-07,447619.0
2020-08,1601694.0
2020-09,1999146.0
2020-10,1607150.0
2020-11,663955.0
2020-12,1227356.0
2021-01,2063909.0
2021-02,2671963.0
2021-03,1877555.0
2021-04,1212645.0
2021-05,722634.0
2021-06,711942.0
2021-07,1659970.0
2021-08,2246652.0
2021-09,2069472.0
2021-10,894424.0
2021-11,715213.0
2021-12,1304292.0
2022-01,1942959.0
2022-02,2552708.0
2022-03,2311014.0
2022-04,1286739.0
2022-05,749724.0
2022-06,934114.0
2022-07,1485696.0
2022-08,2069209.0
2022-09,2172770.0
2022-10,1275104.0
2022-11,702539.0
2022-12,1129554.0
