YYYY-MM,ELRW_USQNT
2015-01,5123580.0
2015-02,4483377.0
2015-03,4530369.0
2015-04,4073792.0
2015-05,3959249.0
2015-06,4595442.0
2015-07,5126719.0
2015-08,4870440.0
2015-09,4635699.0
2015-10,4213348.0
2015-11,4137408.0
2015-12,4775955.0
2016-01,5188059.0
2016-02,4707460.0
2016-03,4567936.0
2016-04,3985446.0
2016-05,4201980.0
2016-06,4695421.0
2016-07,4192865.0
2016-08,4229507.0
2016-09,3825104.0
2016-10,3428954.0
2016-11,3406315.0
2016-12,3711842.0
2017-01,3769092.0
2017-02,3525545.0
2017-03,3226324.0
2017-04,3022707.0
2017-05,3201114.0
2017-06,3598784.0
2017-07,4019556.0
2017-08,554613.0
2017-09,3340711.0
2017-10,3057876.0
2017-11,3216960.0
2017-12,3447925.0
2018-01,3651689.0
2018-02,3409627.0
2018-03,3337001.0
2018-04,3184428.0
2018-05,3357652.0
2018-06,3588248.0
2018-07,4069821.0
2018-08,4270005.0
2018-09,3658649.0
2018-10,3221495.0
2018-11,3261521.0
2018-12,3520501.0
2019-01,3722848.0
2019-02,3207330.0
2019-03,3247243.0
2019-04,3232122.0
2019-05,3403459.0
2019-06,3541920.0
2019-07,3905273.0
2019-08,4233791.0
2019-09,3764087.0
2019-10,3358668.0
2019-11,3225187.0
2019-12,3411211.0
2020-01,3393808.0
2020-02,3325375.0
2020-03,3278959.0
2020-04,3070553.0
2020-05,3178001.0
2020-06,3735168.0
2020-07,3960028.0
2020-08,3849415.0
2020-09,3801467.0
2020-10,3190362.0
2020-11,3282323.0
2020-12,3584332.0
2021-01,3783360.0
2021-02,3380473.0
2021-03,3390334.0
2021-04,3218928.0
2021-05,3255856.0
2021-06,3802602.0
2021-07,4264775.0
2021-08,3950243.0
2021-09,3684594.0
2021-10,3599414.0
2021-11,3538796.0
2021-12,3829957.0
2022-01,3939953.0
2022-02,3547580.0
2022-03,3613645.0
2022-04,3486918.0
2022-05,3648191.0
2022-06,3980585.0
2022-07,4378441.0
2022-08,4079675.0
2022-09,3745098.0
2022-10,3330215.0
2022-11,3322337.0
2022-12,3670817.0
