YYYY-MM,CTY_GAS_USQNT
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,0.0
2015-08,0.0
2015-09,0.0
2015-10,0.0
2015-11,0.0
2015-12,0.0
2016-01,0.0
2016-02,0.0
2016-03,0.0
2016-04,0.0
2016-05,0.0
2016-06,0.0
2016-07,1689.0
2016-08,1542.0
2016-09,1338.0
2016-10,1514.0
2016-11,2800.0
2016-12,14470.0
2017-01,17201.0
2017-02,30104.0
2017-03,2916.0
2017-04,695.0
2017-05,0.0
2017-06,0.0
2017-07,0.0
2017-08,0.0
2017-09,165.0
2017-10,106.0
2017-11,958.0
2017-12,2610.0
2018-01,3412.0
2018-02,3076.0
2018-03,733.0
2018-04,247.0
2018-05,272.0
2018-06,270.0
2018-07,118.0
2018-08,42005.0
2018-09,34033.0
2018-10,34176.0
2018-11,41252.0
2018-12,46142.0
2019-01,49409.0
2019-02,47971.0
2019-03,78400.0
2019-04,76337.0
2019-05,64374.0
2019-06,74951.0
2019-07,62629.0
2019-08,61417.0
2019-09,52619.0
2019-10,45718.0
2019-11,49648.0
2019-12,50762.0
2020-01,70452.0
2020-02,66225.0
2020-03,53184.0
2020-04,54883.0
2020-05,54104.0
2020-06,51898.0
2020-07,42244.0
2020-08,47943.0
2020-09,41911.0
2020-10,47233.0
2020-11,64016.0
2020-12,68398.0
2021-01,87247.0
2021-02,72128.0
2021-03,62562.0
2021-04,57371.0
2021-05,55816.0
2021-06,52686.0
2021-07,46552.0
2021-08,42261.0
2021-09,33928.0
2021-10,40887.0
2021-11,54467.0
2021-12,70756.0
2022-01,82658.0
2022-02,75856.0
2022-03,65639.0
2022-04,63099.0
2022-05,55258.0
2022-06,52331.0
2022-07,47350.0
2022-08,46025.0
2022-09,46124.0
2022-10,42371.0
2022-11,51952.0
2022-12,77451.0
