YYYY-MM,ELRW_USQNT
2015-01,95343.0
2015-02,94859.0
2015-03,75050.0
2015-04,65973.0
2015-05,57834.0
2015-06,58288.0
2015-07,59879.0
2015-08,82349.0
2015-09,62007.0
2015-10,56487.0
2015-11,61828.0
2015-12,70628.0
2016-01,85870.0
2016-02,89591.0
2016-03,73422.0
2016-04,64623.0
2016-05,58414.0
2016-06,61185.0
2016-07,1185111.0
2016-08,1323862.0
2016-09,1003549.0
2016-10,1020075.0
2016-11,1102410.0
2016-12,1249936.0
2017-01,304990.0
2017-02,1136895.0
2017-03,90527.0
2017-04,78408.0
2017-05,825291.0
2017-06,74503.0
2017-07,87909.0
2017-08,91387.0
2017-09,67955.0
2017-10,67367.0
2017-11,93360.0
2017-12,104885.0
2018-01,118647.0
2018-02,129604.0
2018-03,83803.0
2018-04,75965.0
2018-05,72031.0
2018-06,83909.0
2018-07,102998.0
2018-08,144186.0
2018-09,88604.0
2018-10,65957.0
2018-11,82080.0
2018-12,101385.0
2019-01,137410.0
2019-02,139370.0
2019-03,111405.0
2019-04,109924.0
2019-05,103781.0
2019-06,114523.0
2019-07,126643.0
2019-08,170017.0
2019-09,123685.0
2019-10,106259.0
2019-11,117681.0
2019-12,131319.0
2020-01,114241.0
2020-02,101967.0
2020-03,74946.0
2020-04,68995.0
2020-05,71174.0
2020-06,93228.0
2020-07,84873.0
2020-08,104704.0
2020-09,76715.0
2020-10,55688.0
2020-11,72132.0
2020-12,97835.0
2021-01,111744.0
2021-02,92396.0
2021-03,71462.0
2021-04,66210.0
2021-05,61697.0
2021-06,79637.0
2021-07,95875.0
2021-08,104870.0
2021-09,77121.0
2021-10,89161.0
2021-11,100654.0
2021-12,133086.0
2022-01,182090.0
2022-02,116118.0
2022-03,102829.0
2022-04,107376.0
2022-05,95907.0
2022-06,105261.0
2022-07,148345.0
2022-08,158519.0
2022-09,122219.0
2022-10,116289.0
2022-11,115904.0
2022-12,150914.0
