YYYY-MM,CTY_GAS_USQNT
2015-01,2382621.0
2015-02,2502557.0
2015-03,2049209.0
2015-04,2128110.0
2015-05,1676565.0
2015-06,1446228.0
2015-07,1360760.0
2015-08,1664193.0
2015-09,1537166.0
2015-10,1375509.0
2015-11,1273847.0
2015-12,1656621.0
2016-01,2169474.0
2016-02,2635354.0
2016-03,2238715.0
2016-04,2194874.0
2016-05,1473526.0
2016-06,1480246.0
2016-07,1411134.0
2016-08,1693452.0
2016-09,1651563.0
2016-10,1432593.0
2016-11,1212295.0
2016-12,1878605.0
2017-01,2382692.0
2017-02,2423321.0
2017-03,1890439.0
2017-04,1566122.0
2017-05,1305683.0
2017-06,1104901.0
2017-07,1289719.0
2017-08,1944425.0
2017-09,1826051.0
2017-10,1116699.0
2017-11,951708.0
2017-12,1546178.0
2018-01,2005089.0
2018-02,2030962.0
2018-03,1674684.0
2018-04,1643391.0
2018-05,1290981.0
2018-06,1029513.0
2018-07,1091465.0
2018-08,1346200.0
2018-09,1643810.0
2018-10,1098521.0
2018-11,897933.0
2018-12,1316218.0
2019-01,1841823.0
2019-02,1922974.0
2019-03,1743325.0
2019-04,1552357.0
2019-05,1459704.0
2019-06,1223446.0
2019-07,1300533.0
2019-08,1529589.0
2019-09,1521734.0
2019-10,1323389.0
2019-11,1092745.0
2019-12,1066750.0
2020-01,2085695.0
2020-02,2048060.0
2020-03,1965411.0
2020-04,1441772.0
2020-05,1377305.0
2020-06,1165375.0
2020-07,1389076.0
2020-08,1315367.0
2020-09,1255998.0
2020-10,899520.0
2020-11,1163125.0
2020-12,1676751.0
2021-01,2035590.0
2021-02,2155051.0
2021-03,1696816.0
2021-04,1706858.0
2021-05,1300037.0
2021-06,1215385.0
2021-07,1424272.0
2021-08,1630217.0
2021-09,1363726.0
2021-10,1259872.0
2021-11,1295589.0
2021-12,1705692.0
2022-01,2303033.0
2022-02,2251986.0
2022-03,2052200.0
2022-04,1874157.0
2022-05,1412660.0
2022-06,1345099.0
2022-07,1389489.0
2022-08,1686227.0
2022-09,1470567.0
2022-10,1247832.0
2022-11,1279619.0
2022-12,1544476.0
