YYYY-MM,ELRW_USQNT
2015-01,7509163.0
2015-02,7218490.0
2015-03,6078863.0
2015-04,6027395.0
2015-05,5501592.0
2015-06,5964555.0
2015-07,6290678.0
2015-08,7480237.0
2015-09,6630787.0
2015-10,5616501.0
2015-11,5806493.0
2015-12,6408338.0
2016-01,7211131.0
2016-02,7488167.0
2016-03,6230111.0
2016-04,5903938.0
2016-05,5440345.0
2016-06,6025203.0
2016-07,5862830.0
2016-08,7006335.0
2016-09,6394883.0
2016-10,5051371.0
2016-11,5251316.0
2016-12,5758936.0
2017-01,6359490.0
2017-02,6458646.0
2017-03,4869818.0
2017-04,4827187.0
2017-05,4364376.0
2017-06,4717340.0
2017-07,5114900.0
2017-08,6119564.0
2017-09,5254533.0
2017-10,4463783.0
2017-11,4718460.0
2017-12,5260648.0
2018-01,5824686.0
2018-02,5927762.0
2018-03,4818478.0
2018-04,4728832.0
2018-05,4425505.0
2018-06,4790431.0
2018-07,5106694.0
2018-08,7036161.0
2018-09,5972724.0
2018-10,4504011.0
2018-11,4696196.0
2018-12,5229209.0
2019-01,5982576.0
2019-02,5747203.0
2019-03,4971210.0
2019-04,5014266.0
2019-05,5567661.0
2019-06,5931465.0
2019-07,6208921.0
2019-08,7973268.0
2019-09,7526650.0
2019-10,6061832.0
2019-11,5988491.0
2019-12,6723596.0
2020-01,7344702.0
2020-02,7291148.0
2020-03,6514384.0
2020-04,6379409.0
2020-05,6028678.0
2020-06,6721096.0
2020-07,7088197.0
2020-08,7756688.0
2020-09,4877156.0
2020-10,3740636.0
2020-11,6427571.0
2020-12,7121057.0
2021-01,8175719.0
2021-02,7860828.0
2021-03,6584861.0
2021-04,6505811.0
2021-05,6151814.0
2021-06,6865094.0
2021-07,7751385.0
2021-08,9595127.0
2021-09,7876850.0
2021-10,6790093.0
2021-11,6819052.0
2021-12,7450530.0
2022-01,8429121.0
2022-02,8214803.0
2022-03,7079555.0
2022-04,6806855.0
2022-05,6412374.0
2022-06,7035830.0
2022-07,8430115.0
2022-08,9617819.0
2022-09,8479133.0
2022-10,6947108.0
2022-11,6803112.0
2022-12,7767312.0
